"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"";"Cas";"12715";"03 21 46 +68 29 60";"STF 368 AC";"2015";"6";36;65.8;10.04;12.91;2.87;""
"";"Cas";"12715";"03 21 46 +68 29 60";"STF 368 BC";"2015";"2";37;64.7;10.11;12.91;2.80;""
"HD 20283";"Per";"38700";"03 17 11 +40 28 59";"STF 369";"2024";"82";30;3.6;6.83;7.72;0.89;""
"HD 278491";"Per";"56307";"03 16 36 +32 38 14";"STF 370";"2015";"15";320;16.9;8.88;11.00;2.12;""
"HD 20400";"Per";"38712";"03 18 41 +47 01 32";"STF 371";"2016";"29";89;3.2;8.50;10.55;2.05;""
"";"Per";"";"03 19 19 +45 57 05";"STF 372 AB";"2017";"23";292;7.7;10.19;10.58;0.39;""
"";"Per";"";"03 19 19 +45 57 05";"STF 372 AC";"2017";"8";76;53.5;10.19;11.27;1.08;""
"HD 20588";"Cam";"12721";"03 22 05 +62 44 29";"STF 373 AB";"2016";"22";118;20.1;7.73;10.01;2.28;""
"HD 20711";"Cam";"12738";"03 24 15 +67 27 19";"STF 374";"2016";"32";297;11.2;7.80;8.99;1.19;""
"HD 237119";"Ari";"75873";"03 20 21 +23 41 22";"STF 375 AB";"2021";"28";317;2.7;7.62;9.90;2.28;""
"";"Ari";"75873";"03 20 21 +23 41 22";"STF 375 AC";"2015";"4";287;61.4;7.62;14.03;6.41;""
"HD 20682";"Ari";"93392";"03 20 21 +19 43 49";"STF 376";"2017";"62";251;7.2;8.33;8.44;0.11;""
"HD 20698";"Ari";"93396";"03 20 34 +19 10 50";"STF 377 AB";"2023";"52";102;1.2;8.78;9.31;0.53;""
"";"Ari";"93396";"03 20 34 +19 10 50";"STF 377 AC";"2016";"16";223;24.3;8.78;12.80;4.02;""
"HD 20847";"Cam";"24008";"03 24 27 +58 25 52";"STF 378";"2021";"27";314;19.3;9.55;10.64;1.09;""
"HD 20873";"Ari";"";"03 22 52 +29 49 06";"STF 379";"2016";"42";101;10.5;8.59;8.80;0.21;""
"HD 20837";"Cet";"111150";"03 21 44 +08 45 24";"STF 380";"2018";"92";4;0.9;9.02;9.81;0.79;"Y"
"HD 20947";"Ari";"75906";"03 23 19 +20 58 14";"STF 381";"2023";"74";104;1.0;7.56;8.75;1.19;""
"HD 20995";"Per";"56419";"03 24 30 +33 32 10";"STF 382 AB";"2019";"29";153;4.7;5.80;9.25;3.45;""
"HD 21031";"Tau";"93414";"03 24 14 +17 32 58";"STF 383";"2020";"39";120;5.5;8.48;9.12;0.64;""
"HD 21224";"Cam";"";"03 28 29 +59 54 24";"STF 384 AB";"2020";"40";273;1.9;8.13;8.85;0.72;""
"";"Cam";"";"03 28 29 +59 54 24";"STF 384 AC";"2016";"12";341;116.9;8.13;10.60;2.47;""
"NSV1152";"Cam";"24054";"03 29 04 +59 56 25";"STF 385";"2021";"28";162;2.3;4.23;7.80;3.57;""
"HD 21225";"Per";"";"03 28 02 +55 10 29";"STF 386";"2018";"20";59;2.7;9.46;9.60;0.14;""
"HD 21332";"Per";"24055";"03 28 40 +50 26 11";"STF 388";"2024";"36";214;2.7;8.04;9.01;0.97;""
"NSV1158";"Cam";"24062";"03 30 11 +59 21 58";"STF 389 AB";"2018";"105";72;2.6;6.42;7.89;1.47;""
"NSV1159";"Cam";"24064";"03 30 00 +55 27 07";"STF 390 AB";"2015";"20";159;14.6;5.06;10.02;4.96;""
"";"Cam";"24064";"03 30 00 +55 27 07";"STF 390 AC";"2015";"9";170;110.2;5.10;10.63;5.53;""
"HD 21448";"Per";"38873";"03 29 14 +45 02 58";"STF 391";"2024";"42";96;3.8;7.60;8.32;0.72;""
"HD 21488";"Per";"24068";"03 30 18 +52 53 41";"STF 392";"2016";"22";347;25.8;7.45;10.34;2.89;""
"HD 21316";"Tau";"130487";"03 26 17 -01 02 06";"STF 393";"2016";"20";257;15.5;8.74;11.42;2.68;""
"HD 21437";"Ari";"75940";"03 28 01 +20 27 51";"STF 394 AB";"2016";"87";163;6.9;7.05;8.16;1.11;""
"HD 21456";"Ari";"";"03 28 39 +29 03 41";"STF 395";"2018";"41";90;1.8;8.66;9.85;1.19;""
"HD 21769";"Cam";"24093";"03 33 32 +58 45 55";"STF 396 AB";"2019";"62";245;20.5;6.43;7.68;1.25;""
"";"Cam";"24093";"03 33 32 +58 45 55";"STF 396 AC";"2015";"9";101;163.0;6.43;12.48;6.05;""
"HD 21801";"Cam";"";"03 33 59 +60 24 32";"STF 397";"2016";"20";42;5.2;9.33;10.46;1.13;""
"HD 22213";"Cam";"";"03 34 15 +58 17 29";"STF 398";"2016";"18";332;9.6;10.30;10.30;0.00;""
"HD 21663";"Tau";"93462";"03 30 30 +20 06 12";"STF 399 AB";"2016";"26";146;19.6;8.33;10.75;2.42;""
"";"Tau";"93462";"03 30 30 +20 06 12";"STF 399 AC";"2024";"11";222;58.8;8.40;12.07;3.67;""
"HD 21903";"Cam";"24111";"03 35 01 +60 02 29";"STF 400 AB";"2021";"152";269;1.7;6.79;7.97;1.18;"Y"
"";"Cam";"24111";"03 35 01 +60 02 29";"STF 400 AB,C";"2016";"11";236;92.7;6.79;10.82;4.03;""
"HD 21743";"Tau";"75970";"03 31 21 +27 34 18";"STF 401 AB";"2023";"116";269;11.3;6.58;6.93;0.35;""
"HD 21971";"Cam";"12830";"03 36 04 +63 17 17";"STF 402";"2015";"8";165;12.0;7.58;10.49;2.91;""
"HD 21775";"Tau";"93471";"03 31 13 +19 47 00";"STF 403 AB";"2018";"79";172;2.3;8.71;8.92;0.21;""
"";"Tau";"75973";"03 31 22 +21 47 60";"STF 404 AB";"2016";"20";203;28.7;9.84;11.35;1.51;""
"";"Tau";"75973";"03 31 22 +21 47 60";"STF 404 AC";"2016";"20";50;121.5;9.84;8.88;0.96;""
"";"Tau";"75975";"03 31 28 +21 49 19";"STF 405 CD";"2016";"16";48;26.9;8.88;11.99;3.11;""
"HD 21788";"Tau";"111233";"03 30 48 +05 09 10";"STF 406";"2018";"51";126;9.2;7.56;9.33;1.77;""
"HD 21735";"Eri";"148989";"03 29 59 -11 08 47";"STF 407 AB";"2016";"28";52;2.8;8.62;10.54;1.92;""
"";"Eri";"148989";"03 29 59 -11 08 47";"STF 407 AC";"2015";"6";202;132.0;8.62;13.64;5.02;""
"HD 21789";"Eri";"130529";"03 30 39 -04 16 24";"STF 408";"2020";"87";320;1.1;8.23;8.41;0.18;""
"IX Per";"Per";"56559";"03 35 01 +32 01 01";"STF 410";"2016";"14";213;5.1;6.71;10.70;3.99;""
"HD 21978";"Eri";"130551";"03 32 15 -07 05 24";"STF 411 AB";"2016";"34";88;18.8;7.36;9.19;1.83;""
"";"Eri";"130551";"03 32 15 -07 05 24";"STF 411 AC";"2015";"11";31;45.0;7.36;13.59;6.23;""
"";"Tau";"75999";"03 34 27 +24 27 52";"STF 412 AB";"2024";"320";349;0.8;6.60;6.86;0.26;"Y"
"7 Tau";"Tau";"75999";"03 34 27 +24 27 52";"STF 412 AB,C";"2014";"86";53;22.4;5.94;9.92;3.98;""
"HD 22160";"Per";"56564";"03 35 23 +33 40 33";"STF 413";"2024";"43";125;2.3;9.29;9.30;0.01;""
"HD 22116";"Tau";"24110";"03 34 28 +19 47 52";"STF 414";"2023";"76";186;7.5;8.15;8.28;0.13;""
"HD 22181";"Tau";"76011";"03 35 20 +26 51 01";"STF 415 AB";"2015";"24";53;15.1;8.75;10.88;2.13;""
"";"Tau";"76011";"03 35 20 +26 51 01";"STF 415 AC";"2015";"8";357;40.0;9.34;13.44;4.10;""
"";"Tau";"93498";"03 34 57 +19 48 36";"STF 416 AB";"2016";"29";68;30.6;8.91;10.61;1.70;""
"HD 22094";"Eri";"130569";"03 33 30 -02 32 34";"STF 417";"2015";"21";180;25.8;8.79;10.63;1.84;""
"";"Cam";"4978";"03 46 20 +75 22 31";"STF 418 AB";"2015";"42";64;24.2;9.75;10.38;0.63;""
"HD 22553";"Cam";"12873";"03 42 45 +69 50 44";"STF 419 AB";"2018";"51";73;2.9;7.76;7.81;0.05;""
"HD 22318";"Tau";"";"03 36 30 +23 54 46";"STF 420";"2016";"18";113;6.7;8.72;11.00;2.28;""
"HD 22912";"Cam";"4984";"03 46 14 +71 37 05";"STF 421";"2016";"18";236;12.5;7.07;10.69;3.62;""
"V711 Tau";"Tau";"111291";"03 36 47 +00 35 16";"STF 422 AB";"2016";"206";273;6.7;6.00;8.90;2.90;""
"HD 22604";"Tau";"76048";"03 39 11 +27 57 23";"STF 424";"2016";"24";313;10.0;8.87;11.46;2.59;""
"HD 22692";"Per";"56613";"03 40 07 +34 06 59";"STF 425 AB";"2022";"269";58;1.9;7.52;7.60;0.08;"Y"
"HD 22733";"Per";"56623";"03 40 50 +39 07 02";"STF 426 AB";"2020";"30";341;19.6;8.68;9.39;0.71;""
"";"Per";"39034";"03 40 50 +39 07 21";"STF 426 BC";"2015";"8";232;13.2;9.39;13.30;3.91;""
"V1268 Tau";"Tau";"76071";"03 40 39 +28 46 24";"STF 427 AB";"2020";"71";207;7.0;7.41;7.84;0.43;""
"HD 23101";"Cam";"4991";"03 47 47 +70 32 58";"STF 428 AB";"2015";"15";145;25.3;8.91;11.13;2.22;""
"";"Tau";"76078";"03 41 17 +28 31 59";"STF 429";"2016";"17";105;16.8;9.26;12.44;3.18;""
"";"Tau";"";"03 40 28 +05 07 33";"STF 430 Aa,Ab";"2020";"2";48;0.2;6.80;9.80;3.00;""
"HD 22878";"Tau";"111340";"03 40 28 +05 07 33";"STF 430 AB";"2019";"56";57;26.3;6.77;9.63;2.86;""
"";"Tau";"111340";"03 40 28 +05 07 33";"STF 430 AC";"2016";"40";298;34.3;6.77;10.35;3.58;""
"40 Per";"Per";"56646";"03 42 23 +33 57 54";"STF 431";"2016";"34";239;19.9;4.97;10.04;5.07;""
"HD 22891";"Eri";"130650";"03 40 17 -08 05 14";"STF 433";"2015";"17";336;37.5;8.34;10.38;2.04;""
"HD 23107";"Per";"56667";"03 43 59 +38 22 26";"STF 434 AB";"2019";"59";83;33.7;7.80;8.28;0.48;""
"";"Per";"56667";"03 43 59 +38 22 26";"STF 434 AC";"2015";"4";350;91.9;7.80;13.58;5.78;""
"HD 23075";"Tau";"76094";"03 43 07 +25 40 53";"STF 435";"2016";"34";3;13.2;7.20;8.87;1.67;""
"HD 22968";"Eri";"149104";"03 40 52 -12 36 57";"STF 436";"2015";"56";239;47.4;7.63;9.22;1.59;""
"HD 281160";"Per";"56671";"03 44 09 +32 07 09";"STF 437 AB";"2021";"31";311;11.1;9.84;10.04;0.20;""
"HD 23133";"Tau";"76097";"03 43 29 +22 44 05";"STF 438 AB";"2018";"21";242;1.7;9.01;10.01;1.00;""
"";"Per";"56680";"03 44 34 +32 09 46";"STF 439 AB,D";"2016";"40";39;23.4;8.64;11.50;2.86;""
"HD 23768";"Per";"24212";"03 46 46 +51 09 13";"STF 440 AB";"2016";"12";230;2.6;10.16;10.51;0.35;""
"";"Per";"24212";"03 46 46 +51 09 13";"STF 440 AC";"2015";"12";157;49.5;10.16;9.82;0.34;""
"HD 23299";"Per";"39086";"03 46 11 +48 00 39";"STF 441 AB";"2015";"16";248;20.2;8.35;10.04;1.69;""
"";"Per";"39086";"03 46 11 +48 00 39";"STF 441 AC";"2015";"8";118;19.2;8.35;11.80;3.45;""
"HD 23311";"Tau";"";"03 45 02 +22 43 20";"STF 442";"2015";"30";268;2.5;10.06;10.50;0.44;""
"V580 Per";"Per";"39100";"03 47 02 +41 25 38";"STF 443 AB";"2022";"156";57;6.8;8.20;8.82;0.62;"Y"
"";"Per";"39100";"03 47 02 +41 25 38";"STF 443 AC";"2016";"11";331;124.4;8.20;11.42;3.22;""
"HD 23410";"Tau";"76156";"03 45 49 +23 08 50";"STF 444 AB";"2018";"19";338;3.4;6.91;10.09;3.18;""
"HD 23726";"Cam";"24253";"03 50 39 +60 07 23";"STF 445";"2018";"17";259;3.1;8.97;9.90;0.93;""
"HD 23675";"Per";"24248";"03 49 28 +52 39 19";"STF 446 AB";"2020";"31";254;8.7;6.86;9.90;3.04;""
"HD 23457";"Per";"56710";"03 48 01 +38 20 39";"STF 447 DH";"2015";"49";156;31.9;8.45;10.02;1.57;""
"NSV1305";"Per";"56709";"03 47 53 +33 35 60";"STF 448";"2020";"32";13;3.3;6.68;9.36;2.68;""
"HD 23627";"Tau";"";"03 47 27 +24 39 30";"STF 449";"2016";"29";330;6.8;8.78;11.30;2.52;""
"HD 23631";"Tau";"76197";"03 47 24 +23 54 53";"STF 450 AB";"2021";"40";263;6.3;7.29;9.40;2.11;""
"HD 23558";"Eri";"149153";"03 45 42 -13 19 59";"STF 451";"2015";"19";324;19.8;8.97;10.22;1.25;""
"30 Tau";"Tau";"93611";"03 48 16 +11 08 36";"STF 452 AB";"2016";"46";60;9.2;5.06;9.77;4.71;""
"";"Tau";"76228";"03 49 10 +24 03 13";"STF 453 Aa,Ab";"1929";"10";40;0.5;3.80;6.80;3.00;""
"HD 24297";"Cam";"";"03 57 07 +69 30 56";"STF 455 AB";"2015";"32";166;12.1;8.56;9.16;0.60;""
"";"Cam";"130837";"03 57 07 +69 30 56";"STF 455 AC";"2015";"7";333;57.4;8.56;14.91;6.35;""
"";"Cam";"130837";"03 57 07 +69 30 56";"STF 455 AD";"2015";"8";212;97.2;8.56;13.84;5.28;""
"HD 23855";"Tau";"111431";"03 48 27 +01 35 55";"STF 456";"2015";"23";121;22.0;9.19;10.09;0.90;""
"HD 24001";"Tau";"76257";"03 50 20 +22 40 42";"STF 457 AB";"2018";"31";91;0.7;9.31;9.44;0.13;""
"";"Tau";"76257";"03 50 20 +22 40 42";"STF 457 AB,C";"2016";"9";346;19.3;8.62;13.57;4.95;""
"";"Tau";"";"03 49 38 +18 17 24";"STF 458";"2020";"46";202;5.1;10.45;10.57;0.12;""
"HD 24052";"Tau";"76263";"03 50 59 +29 39 19";"STF 459 AB";"2015";"45";340;25.6;8.01;11.20;3.19;""
"";"Tau";"";"03 50 58 +29 39 41";"STF 459 BC";"2015";"8";294;53.5;11.20;13.70;2.50;""
"HD 25007";"Cep";"650";"04 10 03 +80 41 55";"STF 460";"2022";"191";154;0.8;5.62;6.32;0.70;"Y"
"HD 24350";"Cam";"24295";"03 55 24 +56 30 16";"STF 461";"2016";"17";121;1.0;8.58;10.33;1.75;""
"";"Per";"24305";"03 55 46 +52 22 08";"STF 462";"2016";"21";319;8.1;10.70;11.60;0.90;""
"HD 24254";"Eri";"111466";"03 51 35 +00 20 07";"STF 463";"2017";"19";186;10.0;9.30;11.40;2.10;""
"Zet Per";"Per";"56799";"03 54 08 +31 53 01";"STF 464 AB";"2020";"40";208;12.8;2.86;9.16;6.30;""
"";"Per";"56799";"03 54 08 +31 53 01";"STF 464 AC";"2012";"23";286;33.3;2.86;11.24;8.38;""
"";"Per";"56799";"03 54 08 +31 53 01";"STF 464 AD";"2012";"24";195;98.6;2.86;10.44;7.58;""
"";"Per";"56799";"03 54 08 +31 53 01";"STF 464 AE";"2012";"22";186;120.0;2.86;9.96;7.10;""
"";"Per";"5023";"03 54 05 +31 53 11";"STF 464 CD";"2015";"19";177;105.0;11.24;10.44;0.80;""
"";"Per";"56799";"03 54 05 +31 53 11";"STF 464 CE";"2015";"18";171;130.5;11.24;9.96;1.28;""
"";"Per";"5023";"03 54 06 +31 51 27";"STF 464 DE";"2015";"27";149;28.1;10.44;9.96;0.48;""
"HD 24582";"Per";"39205";"03 56 41 +47 28 60";"STF 465";"2020";"22";233;5.6;8.13;10.03;1.90;""
"HD 24445";"Eri";"130795";"03 53 12 -01 59 52";"STF 466";"2017";"33";58;8.4;8.41;10.30;1.89;""
"HD 276000";"Per";"56830";"03 56 49 +38 27 59";"STF 467";"2016";"11";297;37.8;9.49;11.00;1.51;""
"HD 24435";"Eri";"130794";"03 53 08 -01 50 15";"STF 468 A,BC";"2015";"27";99;19.7;8.98;11.99;3.01;""
"HD 24689";"Per";"39212";"03 57 16 +41 52 50";"STF 469";"2020";"27";146;8.8;6.90;9.92;3.02;""
"32 Eri";"Eri";"130806";"03 54 17 -02 57 17";"STF 470 AB";"2021";"149";349;6.9;4.80;5.89;1.09;""
"";"Eri";"130806";"03 54 17 -02 57 17";"STF 470 AC";"2017";"11";5;164.7;4.80;10.50;5.70;""
"Eps Per";"Per";"56840";"03 57 51 +40 00 37";"STF 471 AB";"2020";"50";12;8.8;2.85;8.88;6.03;""
"";"Per";"56840";"03 57 51 +40 00 37";"STF 471 AC";"2015";"6";10;80.1;2.85;13.90;11.05;""
"";"Cam";"5086";"04 06 34 +72 02 06";"STF 472 AB";"2016";"9";281;63.2;9.40;10.49;1.09;""
"";"Cam";"216648";"04 06 20 +72 02 18";"STF 472 BC";"2016";"22";16;6.9;10.49;10.79;0.30;""
"";"Tau";"111526";"03 57 57 +09 37 31";"STF 473";"2016";"27";94;16.7;9.53;11.23;1.70;""
"HD 25689";"Cam";"5116";"04 12 33 +76 14 12";"STF 474";"2015";"37";151;24.3;9.54;9.84;0.30;""
"HD 24987";"Eri";"130850";"03 57 56 -07 07 34";"STF 475";"2016";"20";23;7.6;8.87;11.30;2.43;""
"HD 25184";"Per";"56902";"04 01 35 +38 39 56";"STF 476 AB";"2015";"62";289;25.9;7.96;9.21;1.25;""
"";"Per";"";"04 01 33 +38 40 04";"STF 476 BC";"2015";"9";210;69.7;9.21;13.09;3.88;""
"HD 25227";"Per";"39259";"04 02 05 +41 50 57";"STF 477";"2018";"23";212;3.1;8.49;9.45;0.96;""
"HD 25112";"Tau";"93712";"03 59 48 +11 32 41";"STF 478 AB";"2017";"42";138;9.7;8.83;10.22;1.39;""
"HD 25201";"Tau";"76388";"04 00 57 +23 12 05";"STF 479 AB";"2022";"114";127;7.5;6.92;7.76;0.84;""
"";"Tau";"76388";"04 00 57 +23 12 05";"STF 479 AC";"2019";"50";242;57.8;6.92;9.45;2.53;""
"";"Tau";"76389";"04 00 57 +23 12 01";"STF 479 BC";"2019";"15";248;61.3;7.76;9.45;1.69;""
"HD 25337";"Cam";"24389";"04 04 29 +55 44 26";"STF 480";"2018";"33";327;3.4;9.33;9.53;0.20;""
"HD 25296";"Tau";"76403";"04 02 15 +28 07 35";"STF 481 AB";"2020";"28";109;2.8;7.52;9.60;2.08;""
"";"Tau";"76403";"04 02 15 +28 07 35";"STF 481 AC";"2020";"37";321;13.8;7.52;10.06;2.54;""
"";"Tau";"76403";"04 02 15 +28 07 35";"STF 481 AD";"2010";"5";90;999.9;7.52;8.18;0.66;""
"";"Tau";"76411";"04 02 54 +22 08 12";"STF 482";"2016";"24";124;13.6;8.95;10.53;1.58;""
"HD 25444";"Per";"56936";"04 04 07 +39 30 35";"STF 483";"2024";"147";50;1.6;7.38;9.35;1.97;"Y"
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 484 AG";"2017";"17";260;59.9;6.91;9.63;2.72;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 484 AH";"2017";"14";256;56.6;6.91;10.50;3.59;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 484 AI";"2017";"16";279;69.4;6.91;9.81;2.90;""
"";"Cam";"13030";"04 07 49 +62 19 59";"STF 484 EH";"2017";"12";239;46.9;6.94;10.50;3.56;""
"";"Cam";"13030";"04 07 49 +62 19 59";"STF 484 EI";"2017";"19";270;53.7;6.94;9.81;2.87;""
"";"Cam";"13029";"04 07 43 +62 19 38";"STF 484 GH";"2022";"40";133;5.6;9.63;10.50;0.87;""
"";"Cam";"13034";"04 07 43 +62 19 38";"STF 484 GI";"2017";"29";336;22.7;9.63;9.81;0.18;""
"";"Cam";"13029";"04 07 43 +62 19 35";"STF 484 HI";"2017";"21";331;27.7;10.50;9.81;0.69;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 485 AC";"2022";"17";1;11.2;6.91;13.50;6.59;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 485 AD";"2018";"11";131;14.4;6.91;14.10;7.19;""
"SZ Cam";"Cam";"13031";"04 07 51 +62 19 48";"STF 485 AE";"2022";"103";305;17.9;6.91;6.94;0.03;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 485 AF";"2017";"14";320;36.1;6.91;11.70;4.79;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 485 AL";"2017";"8";71;98.1;6.91;9.80;2.89;""
"";"Cam";"13031";"04 07 51 +62 19 48";"STF 485 AO";"2017";"18";78;138.4;6.91;9.40;2.49;""
"";"Cam";"13030";"04 07 49 +62 19 59";"STF 485 EB";"2018";"4";145;14.3;6.94;12.90;5.96;""
"";"Cam";"13030";"04 07 49 +62 19 59";"STF 485 EC";"2018";"17";86;14.7;6.94;13.50;6.56;""
"";"Cam";"13030";"04 07 49 +62 19 59";"STF 485 EF";"2018";"21";333;19.5;6.94;11.70;4.76;""
"";"Cam";"13030";"04 07 49 +62 19 59";"STF 485 EG";"2017";"24";245;48.9;6.94;9.63;2.69;""
"";"Cam";"5144";"04 19 49 +79 28 58";"STF 486";"2015";"25";355;8.2;10.12;11.60;1.48;""
"HD 25298";"Eri";"149314";"04 00 55 -10 26 58";"STF 487 AB";"2016";"31";10;12.1;9.47;9.98;0.51;""
"";"Eri";"149314";"04 00 55 -10 26 58";"STF 487 AC";"2015";"27";229;19.8;9.47;10.51;1.04;""
"";"Eri";"149315";"04 00 55 -10 26 46";"STF 487 BC";"2015";"28";214;30.1;9.98;10.51;0.53;""
"HD 25415";"Eri";"130883";"04 02 13 -04 02 40";"STF 488";"2015";"13";24;23.3;9.46;11.57;2.11;""
"HD 25458";"Eri";"";"04 02 23 -07 00 18";"STF 489";"2018";"46";197;3.0;9.61;9.68;0.07;""
"HD 25993";"Cam";"";"04 10 28 +60 09 24";"STF 490";"2021";"34";58;4.7;9.33;9.59;0.26;""
"HD 25812";"Tau";"93758";"04 05 53 +10 58 24";"STF 491";"2021";"44";97;3.0;8.58;9.56;0.98;""
"HD 25949";"Per";"39334";"04 08 19 +41 29 26";"STF 492 AB";"2015";"17";200;98.1;7.90;10.96;3.06;""
"";"Per";"";"04 08 16 +41 27 54";"STF 492 BC";"2016";"14";318;5.4;10.96;11.00;0.04;""
"HD 25942";"Tau";"";"04 06 45 +05 41 13";"STF 493";"2018";"45";83;1.3;9.07;9.51;0.44;""
"HD 26128";"Tau";"76476";"04 08 54 +23 05 55";"STF 494";"2021";"115";187;5.5;7.53;7.65;0.12;""
"NSV1466";"Tau";"93775";"04 07 42 +15 09 46";"STF 495 AB";"2021";"71";222;3.5;6.11;8.77;2.66;""
"";"Cam";"5142";"04 16 30 +70 30 29";"STF 496 AB";"2015";"13";58;30.8;11.33;10.89;0.44;""
"";"Cam";"5142";"04 16 30 +70 30 29";"STF 496 AC";"2015";"13";24;37.7;11.33;12.03;0.70;""
"";"Cam";"5142";"04 16 30 +70 30 29";"STF 496 AD";"2015";"8";140;264.6;11.33;7.69;3.64;""
"";"Cam";"149503";"04 16 35 +70 30 46";"STF 496 BC";"2015";"14";329;21.4;10.89;12.03;1.14;""
"";"Tau";"111623";"04 08 32 +08 26 42";"STF 497";"2021";"38";218;11.1;9.39;10.72;1.33;""
"HD 232908";"Cam";"";"04 12 45 +53 46 19";"STF 498";"2015";"16";159;1.4;10.13;10.75;0.62;""
"HD 283432";"Tau";"";"04 10 05 +24 06 54";"STF 499 AB";"2016";"25";285;1.6;10.36;11.87;1.51;""
"";"Tau";"";"04 10 05 +24 06 54";"STF 499 AC";"2019";"20";281;30.3;10.36;11.12;0.76;""
"HD 26344";"Per";"";"04 11 42 +40 15 55";"STF 500";"2018";"28";79;4.0;8.84;10.70;1.86;""
"HD 26215";"Eri";"130978";"04 08 39 -02 41 14";"STF 501";"2015";"29";298;28.1;9.08;10.47;1.39;""
"HD 26372";"Tau";"76486";"04 11 13 +26 29 52";"STF 502 AB";"2015";"25";242;16.9;9.07;10.37;1.30;""
"";"Tau";"";"04 11 12 +26 29 47";"STF 502 BC";"2016";"21";304;10.9;10.37;10.46;0.09;""
"";"Cam";"";"04 17 04 +64 08 18";"STF 503";"2021";"24";228;4.9;10.49;10.58;0.09;""
"HD 26706";"Cam";"";"04 18 19 +67 33 49";"STF 504";"2022";"24";266;6.8;9.30;10.52;1.22;""
"HD 26717";"Cam";"13079";"04 17 23 +62 35 21";"STF 505";"2015";"23";119;9.1;8.42;11.36;2.94;""
"HD 27667";"Cam";"169358";"04 20 56 +70 23 14";"STF 506";"2022";"28";295;9.8;10.26;10.36;0.10;""
"HD 26881";"Cam";"13095";"04 19 59 +67 52 49";"STF 508";"2018";"23";250;3.1;8.45;11.11;2.66;""
"HD 26801";"Cam";"13088";"04 18 11 +61 54 45";"STF 509 AB";"2015";"22";21;13.0;7.67;11.46;3.79;""
"";"Cam";"13088";"04 18 11 +61 54 45";"STF 509 AC";"2015";"24";248;37.7;7.67;9.65;1.98;""
"HD 26573";"Tau";"111659";"04 12 09 +00 44 08";"STF 510";"2021";"33";302;11.1;6.67;10.05;3.38;""
"41 Eri";"Cam";"24521";"04 17 56 +58 47 27";"STF 511";"2022";"102";67;0.5;7.37;8.70;1.33;"Y"
"HD 26735";"Per";"39422";"04 15 45 +45 23 38";"STF 512";"2022";"61";218;5.3;8.73;8.79;0.06;""
"";"Cam";"13094";"04 19 14 +61 35 02";"STF 513 A,BC";"2016";"21";60;5.3;7.94;10.49;2.55;""
"HD 26649";"Eri";"131031";"04 12 40 -06 50 06";"STF 514";"2017";"21";75;8.1;8.94;10.70;1.76;""
"HD 26678";"Tau";"111669";"04 13 23 +02 52 08";"STF 515";"2020";"45";39;3.1;9.04;9.15;0.11;""
"39 Eri";"Eri";"149478";"04 14 24 -10 15 21";"STF 516 AB";"2021";"78";143;6.7;5.03;8.53;3.50;""
"";"Eri";"149478";"04 14 24 -10 15 21";"STF 516 AC";"2014";"10";157;133.7;5.03;11.36;6.33;""
"HD 26991";"Tau";"111705";"04 16 01 +00 27 14";"STF 517";"2021";"43";7;3.3;7.39;9.26;1.87;""
"Keid";"Eri";"131063";"04 15 16 -07 39 10";"STF 518 A,BC";"2024";"108";102;83.2;4.43;9.31;4.88;""
"";"Eri";"131063";"04 15 16 -07 39 10";"STF 518 AC";"2024";"9";98;77.9;4.43;11.17;6.74;""
"";"Eri";"131063";"04 15 16 -07 39 10";"STF 518 AD";"2016";"18";37;551.0;4.43;12.62;8.19;""
"";"Eri";"131063";"04 15 16 -07 39 10";"STF 518 AE";"1998";"12";25;639.0;4.43;12.99;8.56;""
"";"Eri";"131065";"04 15 22 -07 39 29";"STF 518 BC";"2024";"192";327;7.7;9.53;11.17;1.64;"Y"
"";"Eri";"";"04 15 22 -07 39 29";"STF 518 BD";"2016";"6";29;521.0;9.53;12.62;3.09;""
"";"Eri";"";"04 15 22 -07 39 29";"STF 518 BE";"2016";"6";18;625.4;9.53;12.99;3.46;""
"HD 27276";"Per";"24554";"04 20 54 +50 22 39";"STF 519 AB";"2015";"23";348;17.9;7.85;9.40;1.55;""
"HD 27160";"Tau";"76539";"04 18 15 +22 48 25";"STF 520";"2022";"135";83;0.7;8.26;8.45;0.19;"Y"
"HD 27395";"Per";"39484";"04 21 45 +50 02 06";"STF 521";"2020";"23";259;2.0;7.44;9.17;1.73;""
"HD 27447";"Per";"24576";"04 22 30 +51 36 22";"STF 522";"2016";"36";211;1.5;9.46;9.47;0.01;""
"HD 27335";"Tau";"76552";"04 19 46 +23 44 18";"STF 523 AB";"2020";"34";163;10.1;7.58;9.86;2.28;""
"";"Tau";"76552";"04 19 46 +23 44 18";"STF 523 AC";"2015";"22";50;108.6;7.59;8.92;1.33;""
