"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"";"And";"74132";"00 36 02 +29 59 34";"STF 42 AC";"2024";"40";293;39.0;8.39;11.55;3.16;""
"";"And";"";"00 36 03 +29 59 41";"STF 42 BC";"2016";"12";279;37.6;9.05;11.55;2.50;""
"HD 236479";"Cas";"11298";"00 36 49 +60 30 56";"STF 43";"2020";"31";168;4.7;9.00;9.45;0.45;""
"";"And";"36537";"00 38 26 +40 59 09";"STF 44";"2024";"87";275;13.1;9.16;9.88;0.72;""
"HD 3531";"Cas";"36542";"00 38 42 +46 57 25";"STF 45 AB";"2015";"36";91;19.1;6.85;10.06;3.21;""
"55 Psc";"Psc";"74182";"00 39 56 +21 26 19";"STF 46";"2023";"110";195;6.8;5.56;8.49;2.93;""
"HD 3743";"And";"74185";"00 40 20 +24 03 14";"STF 47 AB";"2020";"68";206;16.2;7.25;8.82;1.57;""
"HD 3891";"Cas";"4191";"00 42 40 +71 21 57";"STF 48 AB";"2024";"74";333;5.4;7.80;8.05;0.25;""
"HD 3821";"Cet";"128892";"00 40 47 -07 13 58";"STF 49";"2017";"51";320;8.6;7.12;9.98;2.86;""
"HD 4012";"Cas";"4201";"00 44 22 +77 12 36";"STF 50";"2024";"31";97;22.8;8.01;10.62;2.61;""
"HD 4107";"Psc";"92052";"00 43 33 +17 21 21";"STF 51";"2016";"47";125;3.6;8.33;10.40;2.07;""
"V355 And";"And";"36611";"00 44 11 +46 14 08";"STF 52";"2020";"61";2;1.4;7.87;8.95;1.08;""
"";"Cet";"128919";"00 43 25 -00 53 41";"STF 53 Aa,Ab";"2023";"1";337;1.3;8.80;14.20;5.40;""
"HD 4096";"Cet";"";"00 43 25 -00 53 41";"STF 53 AB";"2015";"29";4;51.7;9.31;10.70;1.39;""
"";"And";"54117";"00 44 23 +33 32 11";"STF 54";"2016";"26";189;18.7;9.84;10.99;1.15;""
"HD 4163";"And";"54116";"00 44 23 +33 37 06";"STF 55";"2020";"64";332;2.2;8.33;8.89;0.56;""
"";"Cas";"";"00 47 31 +72 37 32";"STF 57";"2016";"15";198;6.3;10.54;10.90;0.36;""
"";"Psc";"92064";"00 45 20 +10 18 45";"STF 58";"2015";"19";170;46.1;9.18;10.63;1.45;""
"HD 4536";"Cas";"21716";"00 47 59 +51 26 41";"STF 59 AB";"2020";"108";149;2.3;7.24;8.06;0.82;""
"";"Cas";"21716";"00 47 59 +51 26 41";"STF 59 AC";"2015";"8";124;31.5;7.24;12.49;5.25;""
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 Aa,Ab";"2015";"2";134;5.1;3.52;"";"";""
"Achird";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AB";"2023";"1087";328;13.5;3.52;7.36;3.84;"Y"
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AC";"2000";"4";260;225.0;3.52;11.40;7.88;""
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AD";"2011";"7";354;189.4;3.52;12.80;9.28;""
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AE";"2023";"25";126;66.0;3.52;10.15;6.63;""
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AF";"2000";"3";276;378.3;3.52;11.53;8.01;""
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AG";"2012";"19";259;419.7;3.52;9.53;6.01;""
