"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"";"And";"";"00 04 18 +42 35 11";"WAL 4 AC";"2018";"13";188;47.2;8.64;9.83;1.19;""
"";"And";"36037";"00 04 37 +42 05 33";"CHR 122 Aa,Ab";"2023";"29";268;0.1;6.00;"";"";"Y"
"HD 225218";"And";"36037";"00 04 37 +42 05 33";"STT 514 AB";"2015";"32";170;5.1;6.16;9.65;3.49;""
"";"And";"53617";"00 04 40 +34 15 55";"STF 3056 AB";"2020";"150";142;0.8;7.72;8.08;0.36;"Y"
"";"And";"53617";"00 04 40 +34 15 55";"STF 3056 AB,D";"2020";"18";238;95.2;7.13;10.61;3.48;""
"HD 225258";"And";"36039";"00 04 51 +43 58 15";"A 203";"2020";"68";348;2.0;8.68;9.35;0.67;""
"HD 225257";"Cas";"21062";"00 04 55 +58 31 56";"STF 3057";"2015";"65";298;3.9;6.70;9.30;2.60;""
"HD 225291";"And";"";"00 04 58 +45 40 26";"BU 997";"2020";"99";337;3.9;7.64;9.39;1.75;""
"HD 225260";"Peg";"73728";"00 04 52 +30 05 09";"A 1250 AB";"2017";"36";41;0.9;8.22;9.65;1.43;""
"";"Peg";"73728";"00 04 52 +30 05 09";"STT 548 AC";"1861";"1";64;28.6;8.22;"";"";""
"HD 225276";"Peg";"73731";"00 04 56 +26 38 56";"FOX 103";"2015";"10";149;13.1;6.25;10.72;4.47;""
"HD 225284";"Scl";"";"00 04 53 -32 29 23";"SEE 500";"2016";"7";142;1.3;8.66;12.30;3.64;""
"HD 225271";"Cas";"10961";"00 05 02 +66 31 00";"MLR 101";"2021";"12";126;1.8;8.74;11.90;3.16;""
"";"And";"36042";"00 05 10 +45 13 44";"ES 9001 AB";"2016";"9";107;16.0;6.70;13.70;7.00;""
"HD 3";"And";"36042";"00 05 10 +45 13 44";"BU 9001 AC";"2021";"28";236;21.2;6.69;10.58;3.89;""
"HD 4";"Peg";"53627";"00 05 09 +30 19 44";"STF 3058";"2015";"43";51;12.6;7.81;9.21;1.40;""
"HD 42";"Peg";"91699";"00 05 24 +16 19 44";"STTA 255";"2016";"33";337;88.2;8.69;8.86;0.17;""
"";"Cas";"";"00 05 30 +50 31 15";"HU 501";"2015";"7";255;4.7;8.02;13.20;5.18;""
"HD 39";"And";"53635";"00 05 29 +34 06 20";"HU 1201 AB";"2015";"39";312;0.1;8.20;9.76;1.56;"Y"
"";"And";"53635";"00 05 29 +34 06 20";"HO 490 AC";"2015";"12";163;25.3;8.20;13.40;5.20;""
"";"Cep";"4033";"00 05 34 +76 17 09";"HJ 3237";"2015";"13";313;30.7;8.93;11.84;2.91;""
"HD 38";"And";"36046";"00 05 41 +45 48 43";"STT 547 AB";"2024";"437";192;6.0;8.98;9.15;0.17;"Y"
"";"And";"36046";"00 05 41 +45 48 43";"POP 217 AQ";"2016";"8";147;13.8;8.98;16.00;7.02;""
"";"And";"36046";"00 05 41 +45 48 43";"POP 217 AX";"2016";"3";246;17.8;8.98;"";"";""
"";"And";"36046";"00 05 41 +45 48 43";"STT 547 AC";"2020";"33";263;120.7;8.98;13.71;4.73;""
"";"And";"36046";"00 05 41 +45 48 43";"STT 547 AD";"2020";"41";232;113.3;8.98;12.51;3.53;""
"";"And";"36046";"00 05 41 +45 48 43";"STT 547 AE";"2020";"50";340;60.6;8.98;11.75;2.77;""
"";"And";"36046";"00 05 41 +45 48 43";"POP 217 AP";"2020";"41";311;18.9;8.98;13.40;4.42;""
"HD 85";"Peg";"91703";"00 05 44 +17 50 25";"STF 3061";"2016";"130";149;8.0;8.40;8.51;0.11;""
"HD 98";"Cas";"36054";"00 05 57 +49 37 20";"HU 502";"2021";"19";104;2.6;7.66;10.61;2.95;""
"";"Cas";"10973";"00 06 03 +63 40 48";"TRN 7 AB";"2001";"1";176;3.2;7.38;17.00;9.62;""
"HD 110";"And";"36057";"00 06 04 +40 25 07";"HDS 6";"2014";"6";53;0.4;6.87;10.06;3.19;""
"HD 126";"Psc";"109006";"00 06 08 +09 42 54";"HDS 7";"2023";"18";209;0.3;8.47;8.88;0.41;"Y"
"HD 137";"Psc";"128583";"00 06 13 -01 53 13";"HDS 9";"2023";"7";9;0.1;8.88;11.67;2.79;""
"";"Scl";"166043";"00 06 09 -29 09 05";"LDS 2086";"2015";"6";281;34.4;7.89;18.00;10.11;""
"V640 Cas";"Cas";"21085";"00 06 16 +58 26 12";"STF 3062";"2021";"639";8;1.5;6.42;7.32;0.90;"Y"
"HD 142";"Phe";"214963";"00 06 19 -49 04 31";"HDO 180";"2016";"13";186;3.9;5.70;11.50;5.80;""
"HD 160";"Tuc";"248117";"00 06 17 -64 14 26";"I 433";"2020";"19";135;5.7;8.03;10.17;2.14;""
"HD 154";"And";"53643";"00 06 24 +34 36 25";"HU 1001";"2016";"20";181;2.0;8.99;10.71;1.72;""
"";"Cas";"21088";"00 06 36 +56 30 52";"STI 1275";"2015";"10";169;9.7;8.07;12.80;4.73;""
"";"And";"73743";"00 06 37 +29 01 17";"ENG 1 A,CD";"2019";"15";200;139.7;6.14;10.70;4.56;""
"";"And";"73743";"00 06 37 +29 01 17";"LAF 21 AE";"2005";"1";83;10.2;4.60;17.20;12.60;""
"HD 185";"Cas";"21092";"00 06 47 +54 29 58";"ES 611";"2019";"23";291;9.9;8.36;10.10;1.74;""
"HD 233";"Cet";"147089";"00 07 08 -15 51 00";"HDS 11";"2018";"9";267;0.4;8.86;11.76;2.90;""
"HD 251";"Psc";"109019";"00 07 18 +07 42 13";"HDS 13";"2012";"12";322;0.4;8.04;9.08;1.04;""
"HD 312";"Hyi";"255633";"00 07 26 -77 29 39";"HJ 5442";"2015";"11";67;27.6;8.50;11.37;2.87;""
"HD 278";"Cas";"21108";"00 07 37 +52 46 23";"A 1253";"2016";"10";83;4.0;7.70;11.28;3.58;""
"HD 290";"And";"53661";"00 07 38 +40 08 53";"STF 3064 AB";"2024";"43";9;26.1;6.84;10.84;4.00;""
"HD 281";"And";"53659";"00 07 35 +31 40 09";"BU 1014";"2016";"9";341;1.6;7.00;12.50;5.50;""
"HD 309";"Tuc";"248119";"00 07 35 -60 38 31";"I 434";"2021";"15";32;5.0;8.51;10.93;2.42;""
"HD 292";"And";"53665";"00 07 43 +37 11 08";"A 1501";"2013";"18";240;0.9;7.59;10.63;3.04;""
