RAh,Decl,name1,mag1,name2,mag2,const,dist
1,-70,G 456,7.5,G 458,8.0,Tuc,21.3
7,-70,G 4639,4.8,G 4637,7.5,Vol,13.5
15,-67,G 10836,6.5,G 10839,8.0,TrA,57.5
19,-71,G 13510,8.0,G 13519,8.0,Pav,0.8
20,-76,G 14678,7.2,G 14679,7.7,Oct,18.3
