RAh,Decl,name1,mag1,name2,mag2,x,y,z,dist
1,-70,G 456,7.5,G 458,8.0,0.33175218,0.06998153,-0.94076728,21.3
7,-70,G 4639,4.8,G 4637,7.5,-0.10110438,0.32165581,-0.94144328,13.5
15,-67,G 10836,6.5,G 10839,8.0,-0.26464590,-0.28699292,-0.92065065,57.5
19,-71,G 13510,8.0,G 13519,8.0,0.06045177,-0.32604279,-0.94342020,0.8
20,-76,G 14678,7.2,G 14679,7.7,0.14679471,-0.19699334,-0.96935285,18.3
