RAh,Decl,name1,mag1,name2,mag2,dist
0,-64,GC 451,4.3,GC 452,4.7,27.4
0,-27,GC 473,7.0,GC 472,7.5,16.7
1,-70,GC 810,6.5,GC 811,7.7,20.1
1,-16,GC 889,7.7,GC 890,7.7,8.0
1,-61,GC 982,7.5,GC 983,7.5,5.3
1,-56,GC 1069,4.2,GC 1067,8.0,6.2
1,-9,GC 1149,5.3,GC 1148,8.0,47.6
1,-51,GC 1154,7.7,GC 1155,8.0,47.1
1,-70,GC 1210,5.5,GC 1212,7.0,5.5
2,-31,GC 1546,6.5,GC 1547,7.5,4.1
2,-54,GC 1606,7.0,GC 1607,7.5,11.6
2,-38,GC 1613,7.5,GC 1612,8.0,21.1
2,-57,GC 1633,6.2,GC 1634,6.2,7.7
2,-61,GC 1908,7.0,GC 1909,7.5,4.3
2,-29,GC 2693,5.0,GC 2692,8.0,12.2
3,-60,GC 2860,7.0,GC 2861,7.2,37.1
3,-41,GC 2905,6.7,GC 2906,7.0,2.3
3,-25,GC 3182,7.0,GC 3179,7.3,26.0
3,-41,GC 3223,3.0,GC 3224,5.2,9.8
3,-52,GC 3350,7.0,GC 3353,7.7,38.2
3,-79,GC 3568,6.2,GC 3565,8.0,13.9
4,-41,GC 4055,6.9,GC 4054,8.0,11.4
4,-38,GC 4242,4.7,GC 4241,5.5,9.3
4,-3,GC 4328,4.7,GC 4327,7.7,5.5
4,-40,GC 4409,7.1,GC 4408,7.7,8.3
4,-36,GC 4713,7.0,GC 4715,7.7,50.7
4,-57,GC 4985,7.0,GC 4984,7.7,8.7
4,-10,GC 5149,6.7,GC 5148,8.0,13.0
5,-13,GC 5221,7.5,GC 5220,7.7,15.0
5,-9,GC 5311,6.8,GC 5312,7.5,8.7
5,-59,GC 5325,7.0,GC 5326,7.7,2.2
5,-54,GC 5555,5.8,GC 5556,6.7,12.3
5,-32,GC 6015,7.2,GC 6016,8.0,6.8
5,-19,GC 6116,6.7,GC 6118,7.0,40.7
5,-52,GC 6313,6.5,GC 6310,7.2,38.4
5,-42,GC 6438,7.0,GC 6439,7.7,8.1
6,-66,GC 7579,7.5,GC 7581,8.0,20.1
6,-39,GC 7685,7.0,GC 7688,7.7,40.5
7,-19,GC 8088,6.4,GC 8087,8.0,18.2
7,-48,GC 8227,5.7,GC 8225,7.7,14.4
7,-38,GC 8304,7.2,GC 8303,8.0,9.7
7,-32,GC 8528,6.3,GC 8532,7.7,41.5
7,-43,GC 8936,5.8,GC 8937,7.7,20.2
7,-55,GC 9142,8.0,GC 9143,8.0,9.1
7,-70,GC 9206,4.5,GC 9199,6.0,12.0
7,-23,GC 9247,5.2,GC 9250,7.0,27.4
7,-31,GC 9266,6.7,GC 9265,8.0,38.5
7,-52,GC 9420,6.8,GC 9422,7.0,10.7
7,-48,GC 9448,7.2,GC 9449,8.0,23.4
7,-37,GC 9523,7.0,GC 9521,7.5,10.9
7,-34,GC 9573,7.2,GC 9572,8.0,16.3
7,-32,GC 9616,7.2,GC 9617,7.7,7.8
7,-23,GC 9744,6.7,GC 9745,7.0,11.6
8,-27,GC 9880,4.5,GC 9881,5.0,10.1
8,-74,GC 10006,6.7,GC 10007,7.0,2.1
8,-14,GC 10077,7.5,GC 10075,8.0,16.7
8,-50,GC 10116,6.8,GC 10121,7.7,50.9
8,-41,GC 10184,7.0,GC 10185,7.7,48.2
8,-50,GC 10566,6.7,GC 10568,7.0,15.5
8,-9,GC 10717,6.5,GC 10716,8.0,29.2
8,-42,GC 10859,7.0,GC 10860,8.0,7.8
8,-68,GC 10923,4.7,GC 10924,8.0,8.3
8,-37,GC 10964,6.9,GC 10931,7.2,3.7
8,-47,GC 10986,5.8,GC 10985,7.7,34.9
8,-39,GC 11332,7.0,GC 11333,7.2,9.8
8,-44,GC 11429,6.2,GC 11428,8.0,5.5
9,-60,GC 11759,7.5,GC 11757,8.0,2.1
9,-58,GC 11911,7.0,GC 11910,7.5,5.0
9,-7,GC 12116,7.0,GC 12115,7.5,6.3
9,-59,GC 12221,5.5,GC 12224,7.2,40.6
9,-33,GC 12339,7.2,GC 12340,7.7,14.3
9,-45,GC 12922,6.9,GC 12926,8.0,59.5
9,-31,GC 12978,6.5,GC 12977,6.7,9.2
10,-64,GC 13389,3.5,GC 13390,7.5,6.4
10,-85,GC 13486,7.1,GC 13480,7.5,16.2
10,-17,GC 13722,6.5,GC 13721,7.2,20.8
10,-52,GC 14015,8.0,GC 14017,8.0,38.2
10,-44,GC 14373,6.2,GC 14372,6.7,13.9
10,-55,GC 14408,7.0,GC 14410,7.5,26.1
11,-55,GC 14569,5.0,GC 14573,7.5,52.5
11,-38,GC 14925,7.0,GC 14926,7.7,25.0
11,-60,GC 15333,8.0,GC 15336,8.0,52.9
11,-1,GC 15486,7.5,GC 15485,7.7,10.2
11,-64,GC 15588,6.0,GC 15587,7.5,3.2
