name,x,y,z,mag
T 122,0.58668199,0.06394514,0.80728883,5.0
T 123,0.95862995,0.10543543,0.26440876,7.0
T 124,0.99124883,0.11032599,0.07248396,7.5
T 125,0.64553033,0.07177142,-0.76035483,5.0
T 126,0.46277346,0.05254464,0.88491796,4.0
T 127,0.94003747,0.10622166,-0.32410881,7.5
T 128,0.98766269,0.11230701,0.10913082,6.5
T 129,0.44108660,0.04986596,-0.89607812,4.0
T 130,0.93594864,0.10678891,0.33555369,6.0
T 131,0.44097172,0.04987992,-0.89613388,4.0
T 132,0.88049242,0.10120030,0.46313238,7.0
T 133,0.49877637,0.05800446,0.86478762,8.0
T 134,0.99004561,0.11640156,-0.07912249,7.5
T 135,0.40292847,0.04795775,0.91397413,5.5
T 136,0.99276575,0.11791235,-0.02264622,8.0
T 137,0.43968470,0.05207857,-0.89664106,5.0
T 138,0.99020501,0.11824443,0.07424476,8.0
T 139,0.85765396,0.10342025,-0.50372009,5.5
T 141,0.97875667,0.11886865,0.16704978,7.0
T 140,0.80651268,0.09762698,-0.58310056,7.0
T 142,0.55485758,0.06724842,-0.82922296,7.0
T 143,0.47847040,0.05929334,0.87609952,8.0
T 144,0.98834255,0.12185444,-0.09127154,7.0
T 145,0.72435696,0.08977036,-0.68355561,7.0
T 146,0.59002684,0.07384209,0.80399980,7.0
T 147,0.96808651,0.12079913,0.21958160,6.5
T 148,0.59627230,0.07454165,-0.79931401,6.0
T 149,0.77452340,0.09703426,-0.62505829,8.0
T 150,0.90337115,0.11423445,0.41336553,8.0
T 151,0.98934736,0.12497659,-0.07465021,6.0
T 152,0.97324940,0.12387347,0.19349670,8.0
T 153,0.59029258,0.07559218,0.80364202,5.5
T 154,0.99172137,0.12671343,-0.02079486,6.5
T 155,0.91055517,0.11820660,0.39612684,8.0
T 156,0.88690310,0.11568909,0.44723476,6.5
T 157,0.65464896,0.08538550,-0.75109523,7.0
T 158,0.59377541,0.07821114,0.80082069,4.0
T 159,0.71561356,0.09415962,0.69212079,5.5
T 160,0.56152139,0.07323298,-0.82421518,6.5
T 161,0.83110607,0.11018531,0.54508889,4.5
T 162,0.95951731,0.12751643,0.25112964,5.0
T 163,0.91011395,0.12202285,0.39598362,7.0
T 164,0.98859019,0.13268291,-0.07130694,8.0
T 165,0.81468433,0.10966412,0.56944116,7.0
T 166,0.89474919,0.12121513,-0.42980319,6.0
T 167,0.98991883,0.13503189,0.04274460,7.0
T 168,0.98377991,0.13646354,-0.11642507,9.0
T 169,0.56701346,0.07837835,-0.81997108,7.5
T 170,0.99024221,0.13779856,-0.02078273,7.0
T 171,0.86915987,0.12202663,0.47923964,4.0
T 172,0.98209020,0.14023080,0.12583385,7.0
T 174,0.85572133,0.12269597,0.50267952,3.0
T 175,0.98897033,0.14190048,0.04244929,7.5
T 176,0.92656507,0.13386149,0.35150857,6.5
T 177,0.97187493,0.14161784,0.18815821,7.5
T 178,0.55538285,0.08156112,0.82758544,3.0
T 179,0.92523470,0.13559495,0.35433706,6.0
T 180,0.96835676,0.14225527,-0.20505760,7.0
T 181,0.69344364,0.10335584,-0.71305924,7.0
T 182,0.94464786,0.14204422,-0.29574291,7.0
T 183,0.77090289,0.11642753,0.62622150,6.0
T 184,0.98496918,0.14874074,-0.08781750,6.5
T 185,0.92713084,0.14026416,0.34749729,7.5
T 186,0.90332620,0.13891907,0.40583651,5.5
T 187,0.63755950,0.09841669,0.76408903,5.5
T 188,0.96573526,0.14879933,0.21263625,8.0
T 189,0.74349985,0.11414782,-0.65892204,7.5
T 190,0.93186284,0.14392279,0.33304336,7.5
T 191,0.92263427,0.14310940,-0.35814201,8.0
T 192,0.67674506,0.10543573,-0.72862846,5.0
