name,x,y,z,mag
GC 23009,-0.26350737,-0.86871742,-0.41939707,6.1
GC 23010,-0.16888591,-0.55749815,-0.81281816,7.2
GC 23011,-0.25479173,-0.84155921,-0.47629746,8.0
GC 23012,-0.23053108,-0.76307443,-0.60379867,9.5
GC 23013,-0.20668321,-0.68481798,-0.69878923,9.0
GC 23014,-0.28137051,-0.93461354,-0.21755036,9.5
GC 23015,-0.07514098,-0.24965561,-0.96541489,8.0
GC 23016,-0.22700617,-0.75537549,-0.61471625,7.5
GC 23017,-0.25050516,-0.83369284,-0.49214166,7.5
GC 23018,-0.17283322,-0.57578646,-0.79912367,5.9
GC 23019,-0.19753200,-0.65821541,-0.72645274,9.0
GC 23020,-0.25286158,-0.84283823,-0.47506288,7.7
GC 23021,-0.28654337,-0.95548502,-0.07029426,7.7
GC 23022,-0.18464629,-0.61603915,-0.76576858,8.5
GC 23023,-0.20395993,-0.68055303,-0.70373854,8.5
GC 23024,-0.18462085,-0.61607158,-0.76574862,7.5
GC 23025,-0.01434494,-0.04793372,-0.99874751,8.2
GC 23026,-0.22821026,-0.76407897,-0.60340982,8.2
GC 23027,-0.01367886,-0.04580645,-0.99885668,8.0
GC 23028,-0.25463197,-0.85332764,-0.45496648,8.0
GC 23029,-0.23924495,-0.80203697,-0.54726461,7.0
GC 23030,-0.07296089,-0.24475608,-0.96683565,7.7
GC 23031,-0.18257048,-0.61326910,-0.76848489,7.5
GC 23032,-0.17943854,-0.60293305,-0.77735034,8.2
GC 23033,-0.20276865,-0.68166923,-0.70300209,7.4
GC 23034,-0.15298783,-0.51462793,-0.84365444,6.2
GC 23035,-0.24169249,-0.81331145,-0.52925346,5.7
GC 23036,-0.19786983,-0.66584883,-0.71936977,8.0
GC 23037,-0.19001324,-0.63950950,-0.74493125,7.2
GC 23038,-0.21105140,-0.71175053,-0.66997649,9.0
GC 23039,-0.20350303,-0.68665895,-0.69791547,9.0
GC 23040,-0.25367826,-0.85606510,-0.45033307,8.5
GC 23041,-0.20007226,-0.67532261,-0.70986651,8.7
GC 23042,-0.14721252,-0.49728123,-0.85500869,8.2
GC 23043,-0.25090498,-0.84865438,-0.46565271,7.7
GC 23044,-0.27576073,-0.93300030,-0.23122815,8.0
GC 23045,-0.17839715,-0.60492481,-0.77604151,8.5
GC 23046,-0.17837236,-0.60488779,-0.77607606,9.5
GC 23047,-0.17831920,-0.60493289,-0.77605313,8.2
GC 23048,-0.20246462,-0.68688471,-0.69799532,9.5
GC 23049,-0.23935923,-0.81286258,-0.53100056,8.0
GC 23050,-0.19262646,-0.65452373,-0.73109079,6.6
GC 23051,-0.28135133,-0.95702377,-0.07033440,5.5
GC 23052,-0.13778086,-0.46873818,-0.87252562,8.2
GC 23053,-0.22344195,-0.76084500,-0.60925248,7.5
GC 23054,-0.26687274,-0.90884175,-0.32060197,6.8
GC 23055,-0.24679156,-0.84089812,-0.48164746,8.7
GC 23056,-0.25637753,-0.87445955,-0.41181436,8.5
GC 23057,-0.24552680,-0.83833245,-0.48673946,9.2
GC 23058,-0.21558227,-0.73621222,-0.64149501,7.5
GC 23059,-0.27857830,-0.95361592,-0.11406493,8.2
GC 23060,-0.15683385,-0.53736846,-0.82863640,7.3
GC 23061,-0.20163499,-0.69091416,-0.69424848,8.2
GC 23062,-0.10919169,-0.37497291,-0.92058269,8.2
GC 23063,-0.13874286,-0.47654823,-0.86813145,7.7
GC 23064,-0.11556250,-0.39712404,-0.91046022,7.2
GC 23065,-0.19720716,-0.67827595,-0.70784961,8.2
GC 23066,-0.08855667,-0.30458255,-0.94836026,8.5
GC 23067,-0.22285155,-0.76713920,-0.60152692,8.5
GC 23068,-0.05574744,-0.19195896,-0.97981834,9.5
GC 23069,-0.23787832,-0.81942975,-0.52148709,7.3
GC 23070,-0.19800359,-0.68248491,-0.70356871,9.5
GC 23071,-0.24839373,-0.85637834,-0.45267724,7.7
GC 23072,-0.21951979,-0.75715379,-0.61524726,6.5
GC 23073,-0.21998888,-0.76043389,-0.61101980,7.1
GC 23074,-0.20251315,-0.70121368,-0.68358452,7.0
GC 23075,-0.25148431,-0.87213757,-0.41968048,9.2
GC 23076,-0.18848977,-0.65465670,-0.73204932,9.2
GC 23077,-0.18847741,-0.65466211,-0.73204767,8.5
GC 23078,-0.18938998,-0.65794343,-0.72886341,7.4
GC 23079,-0.05637571,-0.19595293,-0.97899143,8.2
GC 23080,-0.25450604,-0.88483285,-0.39025312,7.2
GC 23081,-0.10050960,-0.34952551,-0.93152012,6.9
GC 23082,-0.09364050,-0.32594496,-0.94073978,8.5
GC 23083,-0.25210136,-0.87763046,-0.40768821,7.7
GC 23084,-0.12242601,-0.42644455,-0.89619023,7.5
GC 23085,-0.08214421,-0.28613474,-0.95466185,8.2
