name,x,y,z,mag
U 121,0.80699898,0.04158937,0.58908656,4.8
U 122,0.79538518,0.04181318,-0.60466030,5.7
U 123,0.85903485,0.04648435,-0.50980224,7.6
U 124,0.97798482,0.05309403,-0.20180862,8.0
U 125,0.99870710,0.05081615,-0.00136193,8.0
U 126,0.99187365,0.05499992,0.11472433,8.8
U 127,0.99755304,0.05624058,0.04153220,8.8
U 128,0.98463627,0.05617026,-0.16533696,3.4
U 129,0.94746013,0.05436922,-0.31521944,7.7
U 130,0.80490351,0.04653194,0.59157850,6.8
U 131,0.98882837,0.05713374,-0.13767422,7.5
U 132,0.97386346,0.05713625,0.21983040,9.0
U 133,0.79152875,0.04657513,0.60935457,6.2
U 134,0.99346367,0.05928282,0.09754739,7.2
U 135,0.89863061,0.05361367,-0.43541773,7.4
U 136,0.94721095,0.05671626,-0.31555456,7.0
U 137,0.99736968,0.05988743,0.04083145,7.6
U 138,0.71505264,0.04331599,0.69772734,8.0
U 139,0.80137763,0.04870877,-0.59617225,7.0
U 140,0.83270625,0.05090606,-0.55137000,7.9
U 141,0.98956095,0.06124531,0.13045362,5.0
U 142,0.90940772,0.05762123,-0.41189488,6.9
U 143,0.79412451,0.05044309,0.60565812,4.8
U 144,0.97589737,0.06198465,0.20924202,7.5
U 145,0.71492971,0.04548959,0.69771499,7.0
U 146,0.78949756,0.05031740,0.61168763,8.0
U 147,0.81562722,0.05202420,0.57623409,6.8
U 148,0.86092794,0.05507419,-0.50573700,7.6
U 149,0.76522391,0.04907732,-0.64189079,6.8
U 150,0.97605342,0.06285569,0.20825195,8.5
U 151,0.97824881,0.06412052,-0.19727602,9.0
U 152,0.80222112,0.05258730,-0.59470652,6.4
U 153,0.71535931,0.04713020,0.69716555,9.0
U 154,0.86694806,0.05771907,-0.49504502,5.0
U 155,0.99363389,0.06700705,0.09056352,8.4
U 156,0.93300191,0.06295583,-0.35432189,5.6
U 157,0.99765446,0.06735940,-0.01217776,9.0
U 158,0.91357512,0.06206724,-0.40190567,7.7
U 159,0.99163336,0.06745658,0.11005854,8.2
U 160,0.79603747,0.05461068,0.60277859,8.0
U 161,0.99234864,0.06878232,-0.10253377,7.5
U 162,0.71476895,0.04969708,0.69759268,8.5
U 163,0.99444354,0.06945493,0.07910793,8.9
U 164,0.78535195,0.05617001,0.61649594,6.2
U 165,0.97222945,0.06991222,-0.22334319,6.0
U 166,0.80608173,0.05819643,-0.58893584,7.0
U 167,0.76453674,0.05539049,-0.64219582,6.0
U 168,0.78489342,0.05711558,-0.61699281,6.2
U 169,0.78697738,0.05828861,0.61422231,8.8
U 170,0.84821911,0.06284680,-0.52590363,6.4
U 171,0.85888138,0.06421293,-0.50813332,7.3
U 172,0.78451501,0.06124534,-0.61707796,7.0
U 173,0.91007606,0.07133545,-0.40825583,8.2
U 174,0.86616152,0.06834804,-0.49506844,7.2
U 175,0.99559465,0.07883045,-0.05076461,5.5
U 176,0.99577600,0.07899429,0.04679817,8.0
U 177,0.60882239,0.04886469,0.79180019,6.0
U 178,0.98923548,0.07975562,0.12268740,9.2
U 179,0.78175263,0.06321161,0.62037660,8.5
U 180,0.90952966,0.07368589,-0.40905523,7.5
U 181,0.85085679,0.06999252,-0.52071467,6.9
U 182,0.99633092,0.08276903,0.02177104,5.7
U 183,0.80835676,0.06724313,0.58483991,7.6
U 184,0.80536276,0.06702316,0.58898109,8.2
U 185,0.76391667,0.06409121,-0.64212432,6.0
U 186,0.98904431,0.08329048,0.12187717,6.6
U 187,0.92173559,0.07826047,-0.37984050,7.0
U 188,0.87645502,0.07473878,-0.47564767,6.3
U 189,0.99479079,0.08491559,0.05639703,7.0
U 190,0.98398925,0.08399641,-0.15719340,8.0
U 191,0.93947607,0.08037815,0.33305266,7.0
U 192,0.99479249,0.08532086,0.05575174,8.2
U 193,0.85003166,0.07323909,-0.52161501,6.8
U 194,0.55783790,0.04837133,0.82853913,7.0
U 195,0.99623800,0.08626668,0.00824109,8.0
U 196,0.99476160,0.08638294,0.05465663,7.0
U 197,0.99181467,0.08625261,0.09414961,7.2
U 198,0.92127067,0.08050150,-0.38049950,7.3
U 199,0.72873462,0.06407574,-0.68179186,3.0
U 200,0.64955802,0.05807235,0.75809101,8.3
U 201,0.64958666,0.05816075,0.75805970,7.3
U 202,0.99269018,0.08932739,-0.08115921,9.0
U 203,0.99100212,0.08981605,-0.09923648,7.0
U 204,0.89320271,0.08199042,-0.44211593,6.0
U 205,0.99555877,0.09174935,0.02108987,9.0
U 206,0.83956443,0.07813962,-0.53761116,7.0
U 207,0.99336006,0.09258475,0.06829241,7.8
U 208,0.93061713,0.08684055,-0.35554251,6.4
