name,x,y,z,mag
OA 11968,-0.87044903,-0.01700515,-0.49196474,8.5
OA 11969,-0.92096031,-0.01861773,-0.38921137,6.5
OA 11970,-0.91227153,-0.01899322,-0.40914535,8.5
OA 11971,-0.94345431,-0.01971259,-0.33091596,9.5
OA 11972,-0.96058668,-0.02085052,-0.27719756,7.0
OA 11973,-0.94504277,-0.02054036,-0.32630086,9.0
OA 11974,-0.89568107,-0.01994869,-0.44424933,7.5
OA 11975,-0.93061816,-0.02098048,-0.36538975,8.5
OA 11976,-0.91978214,-0.02079594,-0.39187798,9.0
OA 11977,-0.86660641,-0.01980004,-0.49859932,7.5
OA 11979,-0.87689679,-0.02036556,-0.48024708,9.0
OA 11980,-0.94392470,-0.02223603,-0.32941117,7.0
OA 11982,-0.90423096,-0.02183549,-0.42648515,7.0
OA 11983,-0.95732514,-0.02378185,-0.28803299,9.0
OA 11984,-0.92803357,-0.02350664,-0.37175413,9.0
OA 11985,-0.94419581,-0.02421862,-0.32849311,6.5
OA 11987,-0.92577903,-0.02403387,-0.37730035,9.0
OA 11988,-0.95842312,-0.02490188,-0.28426225,8.5
OA 11989,-0.90476447,-0.02371429,-0.42525156,9.0
OA 11990,-0.94447130,-0.02555051,-0.32759905,8.0
OA 11992,-0.92603070,-0.02509201,-0.37661325,9.0
OA 11993,-0.90504679,-0.02464149,-0.42459759,8.5
OA 11994,-0.87501060,-0.02440512,-0.48348819,9.0
OA 11995,-0.86031193,-0.02412889,-0.50919661,8.5
OA 11996,-0.95873130,-0.02729145,-0.28300082,8.0
OA 11997,-0.85840272,-0.02472754,-0.51238006,8.0
OA 11998,-0.96125824,-0.02784586,-0.27423934,9.0
OA 11999,-0.87522368,-0.02557957,-0.48304161,8.5
OA 12000,-0.93350467,-0.02920907,-0.35737357,8.0
OA 12002,-0.89351291,-0.02813114,-0.44815546,7.5
OA 12003,-0.91130553,-0.02898428,-0.41070931,8.5
OA 12004,-0.90838119,-0.02899111,-0.41713683,8.0
OA 12005,-0.94290994,-0.03023158,-0.33167287,9.0
OA 12006,-0.96413838,-0.03123061,-0.26355613,8.0
OA 12007,-0.93387468,-0.03040455,-0.35630556,9.0
OA 12008,-0.95545861,-0.03182119,-0.29340458,8.5
OA 12009,-0.88604754,-0.03005969,-0.46261882,9.0
OA 12010,-0.94800417,-0.03240441,-0.31660392,7.5
OA 12011,-0.90258397,-0.03087280,-0.42940545,8.0
OA 12012,-0.91081822,-0.03162150,-0.41159476,9.0
OA 12013,-0.96353614,-0.03376571,-0.26543922,8.0
OA 12014,-0.94257836,-0.03307749,-0.33234308,8.0
OA 12015,-0.90178229,-0.03230750,-0.43098135,8.5
OA 12016,-0.91239241,-0.03304318,-0.40798069,7.0
OA 12017,-0.92854215,-0.03375228,-0.36968941,9.0
OA 12018,-0.87341088,-0.03231489,-0.48591068,9.0
OA 12019,-0.93400850,-0.03457256,-0.35557399,9.0
OA 12020,-0.94064143,-0.03490276,-0.33760257,9.0
OA 12021,-0.87785596,-0.03306226,-0.47778217,7.0
OA 12023,-0.96411640,-0.03688469,-0.26290509,9.0
OA 12025,-0.95070425,-0.03729669,-0.30784800,9.0
OA 12024,-0.91918824,-0.03607336,-0.39216283,9.0
OA 12026,-0.89083478,-0.03499372,-0.45297774,9.0
OA 12027,-0.85654170,-0.03393605,-0.51496083,8.0
OA 12028,-0.93992087,-0.03758045,-0.33931765,6.5
OA 12029,-0.95112532,-0.03837384,-0.30641162,8.5
OA 12030,-0.94929414,-0.03857457,-0.31201386,8.5
OA 12031,-0.93052214,-0.03799760,-0.36425915,8.0
OA 12033,-0.93116321,-0.03809965,-0.36260652,9.0
OA 12034,-0.91872333,-0.03763479,-0.39310439,9.0
OA 12035,-0.93204951,-0.03857060,-0.36027215,9.0
OA 12036,-0.92765107,-0.03842226,-0.37146631,9.0
OA 12037,-0.87446520,-0.03650681,-0.48371258,8.5
OA 12039,-0.91682156,-0.03860369,-0.39742669,9.0
OA 12040,-0.89226228,-0.03797979,-0.44991727,8.0
OA 12041,-0.93761131,-0.04017607,-0.34535621,9.0
OA 12042,-0.96395755,-0.04185471,-0.26274325,9.0
OA 12043,-0.93687210,-0.04244098,-0.34708706,9.0
OA 12044,-0.89429253,-0.04146870,-0.44555719,8.5
OA 12045,-0.96023540,-0.04450645,-0.27562140,6.0
OA 12046,-0.93777187,-0.04354917,-0.34451037,9.0
OA 12047,-0.93647703,-0.04479222,-0.34785691,9.0
OA 12048,-0.95228818,-0.04591234,-0.30172718,8.5
OA 12049,-0.96019709,-0.04691382,-0.27535549,8.5
OA 12050,-0.93083671,-0.04549274,-0.36259266,8.5
OA 12052,-0.86052594,-0.04231884,-0.50764577,9.0
OA 12053,-0.88533379,-0.04364137,-0.46290334,7.5
OA 12054,-0.95804807,-0.04761484,-0.28262469,9.0
OA 12055,-0.93752192,-0.04666130,-0.34478309,8.0
OA 12056,-0.87416612,-0.04359799,-0.48366602,9.0
OA 12057,-0.91717198,-0.04584590,-0.39584557,7.0
OA 12060,-0.95881767,-0.04795634,-0.27994441,7.5
OA 12061,-0.95938273,-0.04832312,-0.27793823,9.0
OA 12062,-0.93757072,-0.04824002,-0.34443292,7.0
OA 12063,-0.94970446,-0.04901765,-0.30928743,8.5
OA 12064,-0.92427222,-0.04798001,-0.37870672,9.0
OA 12065,-0.85782116,-0.04469243,-0.51200140,8.5
OA 12066,-0.93772323,-0.04906904,-0.34390025,7.5
OA 12067,-0.92811527,-0.04873299,-0.36908960,9.0
OA 12068,-0.92378597,-0.04904057,-0.37975586,9.0
OA 12069,-0.91621577,-0.04864862,-0.39772098,8.5
OA 12071,-0.87111745,-0.04674784,-0.48884459,8.5
OA 12072,-0.95925086,-0.05146000,-0.27783027,8.0
OA 12073,-0.93328829,-0.05070454,-0.35553063,8.0
OA 12074,-0.92452239,-0.05069252,-0.37774147,8.5
OA 12075,-0.92440556,-0.05115524,-0.37796495,9.5
OA 12076,-0.96174010,-0.05404151,-0.26858051,7.0
OA 12077,-0.92287306,-0.05231163,-0.38153481,9.0
OA 12078,-0.90739584,-0.05174468,-0.41707945,9.0
OA 12079,-0.94642912,-0.05439542,-0.31829712,7.5
OA 12080,-0.94672354,-0.05476893,-0.31735612,8.0
OA 12081,-0.92887743,-0.05445622,-0.36636217,9.0
OA 12082,-0.89693377,-0.05260488,-0.43902453,6.5
OA 12083,-0.94625443,-0.05563756,-0.31860165,8.0
OA 12084,-0.93322799,-0.05488196,-0.35506829,8.0
OA 12085,-0.93224960,-0.05498348,-0.35761361,9.0
OA 12086,-0.92236428,-0.05477762,-0.38241803,9.0
OA 12087,-0.90567047,-0.05379438,-0.42055577,8.5
OA 12089,-0.92887867,-0.05563417,-0.36618201,6.5
OA 12090,-0.87648933,-0.05360954,-0.47842708,8.5
OA 12091,-0.91220326,-0.05587089,-0.40591090,9.0
OA 12092,-0.86660172,-0.05313854,-0.49616303,9.0
OA 12093,-0.92852972,-0.05715466,-0.36683225,5.0
OA 12094,-0.87891689,-0.05413749,-0.47389264,9.0
OA 12095,-0.87841096,-0.05422271,-0.47482005,9.0
OA 12096,-0.86536278,-0.05398718,-0.49822952,8.5
OA 12097,-0.96376710,-0.06017095,-0.25987004,9.0
OA 12098,-0.92775063,-0.05807779,-0.36865396,8.5
OA 12099,-0.94253310,-0.05916253,-0.32883301,8.5
OA 12100,-0.96347131,-0.06082975,-0.26081175,8.0
OA 12101,-0.89663576,-0.05783831,-0.43897500,7.0
OA 12102,-0.92261466,-0.05988929,-0.38104522,9.0
OA 12103,-0.92688095,-0.06071318,-0.37041275,9.0
OA 12104,-0.93209333,-0.06106588,-0.35703359,9.0
OA 12105,-0.91490045,-0.06017702,-0.39916900,9.0
OA 12106,-0.89236859,-0.05904582,-0.44742808,8.5
OA 12107,-0.92386778,-0.06135872,-0.37776107,7.0
OA 12109,-0.92919537,-0.06209806,-0.36433473,8.5
OA 12110,-0.93166159,-0.06261867,-0.35789047,9.5
OA 12111,-0.95688416,-0.06438118,-0.28324506,9.5
OA 12112,-0.95048025,-0.06400529,-0.30412271,8.0
OA 12113,-0.85297262,-0.05793384,-0.51873054,9.0
OA 12114,-0.91142598,-0.06203399,-0.40676095,8.5
OA 12115,-0.96424562,-0.06674001,-0.25646862,7.0
OA 12116,-0.91455260,-0.06373514,-0.39941380,6.0
OA 12117,-0.92650238,-0.06476097,-0.37067419,9.0
OA 12118,-0.93389691,-0.06601813,-0.35139460,9.0
OA 12119,-0.88825242,-0.06284194,-0.45503685,9.0
OA 12120,-0.95165100,-0.06756077,-0.29965968,9.5
OA 12121,-0.93526949,-0.06735081,-0.34746921,7.5
OA 12122,-0.91446046,-0.06613935,-0.39923383,9.0
OA 12123,-0.89513566,-0.06583709,-0.44090546,9.0
OA 12124,-0.89805579,-0.06615577,-0.43487838,8.0
OA 12125,-0.96319864,-0.07110636,-0.25921470,9.0
OA 12126,-0.93694997,-0.06970394,-0.34244139,9.0
OA 12127,-0.92411083,-0.06904965,-0.37583415,9.0
OA 12128,-0.95863662,-0.07177359,-0.27543488,8.5
OA 12129,-0.95281161,-0.07138443,-0.29504965,9.0
OA 12130,-0.86362885,-0.06499848,-0.49992040,9.0
OA 12131,-0.86668259,-0.06534321,-0.49456199,6.5
OA 12132,-0.95373574,-0.07200170,-0.29189706,9.5
OA 12133,-0.86514631,-0.06613918,-0.49713929,8.5
OA 12134,-0.91400385,-0.07039929,-0.39955088,8.5
OA 12135,-0.88146999,-0.06793791,-0.46732761,8.5
OA 12136,-0.91196544,-0.07054582,-0.40415631,9.5
