name,x,y,z,mag
G 8037,-0.33678874,0.03561009,-0.94090662,9.5
G 8038,-0.36585762,0.03862026,-0.92986917,9.5
G 8039,-0.44991575,0.04722324,-0.89182161,9.0
G 8040,-0.32684922,0.03426173,-0.94445525,8.5
G 8041,-0.40644239,0.04249560,-0.91268763,9.2
G 8042,-0.31611308,0.03290685,-0.94815065,10.0
G 8043,-0.23454291,0.02442709,-0.97179882,7.0
G 8044,-0.49329717,0.05106708,-0.86836056,7.8
G 8045,-0.05938374,0.00633028,-0.99821516,9.2
G 8046,-0.38355411,0.03944758,-0.92267553,9.0
G 8047,-0.26708865,0.02754909,-0.96327810,8.8
G 8048,-0.09088162,0.00953777,-0.99581603,10.0
G 8049,-0.44645164,0.04559582,-0.89364532,10.0
G 8050,-0.37741287,0.03857296,-0.92524140,9.5
G 8051,-0.32644337,0.03328703,-0.94463046,10.0
G 8052,-0.41223649,0.04190834,-0.91011250,9.5
G 8053,-0.41268498,0.04191096,-0.90990910,10.0
G 8054,-0.26529644,0.02701737,-0.96378829,7.2
G 8055,-0.21603109,0.02203212,-0.97613788,9.0
G 8056,-0.44565566,0.04502911,-0.89407126,9.0
G 8057,-0.13145479,0.01340393,-0.99123154,6.5
G 8058,-0.37573204,0.03762580,-0.92596422,9.5
G 8059,-0.31565276,0.03161775,-0.94834785,9.5
G 8060,-0.36832852,0.03671769,-0.92897035,9.5
G 8061,-0.30645928,0.03058227,-0.95139237,10.0
G 8062,-0.42549785,0.04228976,-0.90397077,8.5
G 8063,-0.29547312,0.02942176,-0.95489790,9.0
G 8064,-0.34087064,0.03389238,-0.93949908,10.0
G 8065,-0.41166834,0.04062659,-0.91042773,9.0
G 8066,-0.39915928,0.03930596,-0.91603871,10.0
G 8067,-0.31163428,0.03073054,-0.94970506,7.0
G 8068,-0.31813110,0.03121056,-0.94753285,10.0
G 8069,-0.31874734,0.03109966,-0.94732937,10.0
G 8070,-0.32699223,0.03189434,-0.94448866,10.0
G 8071,-0.19650966,0.01924091,-0.98031308,6.5
G 8072,-0.37631046,0.03658905,-0.92577086,9.5
G 8073,-0.31629975,0.03064159,-0.94816431,10.0
G 8074,-0.21503283,0.02087729,-0.97638365,8.0
G 8075,-0.36845718,0.03535695,-0.92897212,9.0
G 8076,-0.38179598,0.03649066,-0.92352599,9.0
G 8077,-0.24086408,0.02296455,-0.97028714,9.8
G 8078,-0.49547144,0.04632132,-0.86738826,8.0
G 8079,-0.32711521,0.03059788,-0.94448897,10.0
G 8080,-0.16648849,0.01568310,-0.98591867,10.0
G 8081,-0.35054026,0.03297629,-0.93596693,10.0
G 8082,-0.39528109,0.03689261,-0.91781904,9.0
G 8083,-0.29755794,0.02779322,-0.95429912,9.0
G 8084,-0.17649491,0.01657019,-0.98416207,6.5
G 8085,-0.35031262,0.03214927,-0.93608092,10.0
G 8086,-0.45447139,0.04152965,-0.88979270,9.5
G 8087,-0.28700886,0.02618210,-0.95757006,8.2
G 8088,-0.45394309,0.04125962,-0.89007489,9.5
G 8089,-0.30018412,0.02734117,-0.95348936,7.5
G 8090,-0.22193815,0.02019544,-0.97485158,8.5
G 8091,-0.38907602,0.03509567,-0.92053688,9.5
G 8092,-0.41621400,0.03751633,-0.90849240,8.5
G 8093,-0.35272886,0.03182640,-0.93518417,9.5
G 8094,-0.39686846,0.03574189,-0.91717934,9.5
G 8095,-0.40457708,0.03588393,-0.91379961,3.5
G 8096,-0.28210261,0.02507056,-0.95905661,9.0
G 8097,-0.32578465,0.02892174,-0.94500153,9.0
G 8098,-0.27155414,0.02412506,-0.96212075,9.0
G 8099,-0.33170100,0.02938152,-0.94292692,8.5
G 8100,-0.20494789,0.01807050,-0.97860606,9.8
G 8101,-0.20840609,0.01835898,-0.97787006,8.5
G 8102,-0.23953759,0.02091571,-0.97066177,9.5
G 8103,-0.37156297,0.03212048,-0.92785194,9.5
G 8104,-0.23822251,0.02061246,-0.97099184,8.0
G 8105,-0.41915904,0.03597251,-0.90719991,9.5
G 8106,-0.49088586,0.04191870,-0.87021486,6.0
G 8107,-0.29282034,0.02505808,-0.95583908,9.0
G 8108,-0.33734611,0.02877701,-0.94094074,9.0
G 8109,-0.42274010,0.03597653,-0.90553658,9.5
