name,x,y,z
17G Aql,0.251906153373,-0.953707342414,-0.164272928135
7G Cnc,-0.611395587323,0.777643162647,0.146514666128
142G Cet,0.937369471986,0.338937561986,-0.080372893840
17G Dor,0.108647083197,0.353254269004,-0.929197090365
91G Lep,-0.006751372702,0.928364022399,-0.371610899842
57G Oct,0.088627359403,-0.078733166267,-0.992948276445
130G Oph,-0.188055067723,-0.974647411181,-0.121234134555
145G Oph,-0.164319218911,-0.974962705208,0.149822954686
115G Sco,-0.223977197443,-0.723181052290,-0.653332519193
138G Sco,-0.182289234290,-0.792473107402,-0.582028357647
80G Scl,0.856448150724,0.121890622095,-0.501636563028
54G Serb,0.133135796594,-0.989026738288,0.064038821175
59G Serb,0.137179378910,-0.985439956947,0.100448540325
70G Serb,0.213486426901,-0.969311286751,0.121898215351
55G Tau,0.403793795740,0.898307219575,0.173189808535
xi Tuc,0.295136371689,0.023832518118,-0.955157857732
