name,x,y,z
U 116,0.726734335050,0.035654952303,0.685992660774
U 169,0.786977379041,0.058288609505,0.614222307377
U 332,0.987452877246,0.148795249415,-0.052884676145
U 341,0.980644641786,0.151981661405,-0.123440921631
U 489,0.976755401239,0.212812662979,-0.025683781373
U 868,0.895762375248,0.427312087311,0.122532228937
U 987,0.840023611405,0.485740881369,0.241694287165
U 1484,0.601731567526,0.734218177258,0.314392730238
U 1528,0.601523107564,0.783232439774,-0.157216081720
U 2124,0.293010676044,0.875732721937,0.383714664110
U 2130,0.225877840134,0.684049886823,0.693581252395
U 2355,0.149441996968,0.988748385260,-0.006612124246
U 2533,0.023993883422,0.803410273251,0.594942204246
U 2534,0.023963600175,0.803431986634,0.594914101968
U 3270,-0.381020483048,0.767916516129,0.514905443508
U 3543,-0.567049085834,0.744852064344,0.351640066684
U 3564,-0.574502073008,0.746637301759,0.335380541670
U 3575,-0.575375183733,0.746173447254,0.334915787262
U 3605,-0.579058448825,0.742814898310,0.336031753996
U 3613,-0.578072574228,0.739967987003,0.343917834862
U 3635,-0.580726273106,0.737948171057,0.343786987185
U 3649,-0.581563545704,0.737506015251,0.343320141816
U 3739,-0.591603087056,0.730969992058,0.340130354563
U 3762,-0.596991697469,0.726600507746,0.340077366633
U 4298,-0.749496604526,0.432667783182,0.501052321819
U 4370,-0.766828136920,0.399121965111,0.502669141080
U 4727,-0.692304293205,0.187747036804,0.696753769836
U 4926,-0.314320267625,0.044305509423,0.948282548186
U 5769,-0.874120447698,-0.404793230171,0.268432270274
U 5770,-0.838739620644,-0.388747667682,0.381301848453
U 5860,-0.802663692984,-0.418592854390,0.424865882624
U 6014,-0.814931693301,-0.533166578813,-0.227199767803
U 6875,-0.082224744323,-0.161742730715,0.983401434045
U 7313,-0.201279325346,-0.973373619656,-0.109683315718
U 7711,-0.027990923205,-0.962475053648,-0.269922728432
U 7843,0.025816854780,-0.932619366238,-0.359936949656
U 8380,0.231918949610,-0.743779917864,0.626901136220
U 8958,0.510814749151,-0.824885251981,-0.242141721132
U 9383,0.540828931775,-0.591073144323,0.598445155896
U 9705,0.781207679534,-0.591764103586,-0.198821043010
U 9977,0.522824848616,-0.294714189087,0.799873567772
U 10130,0.708629881714,-0.329833503246,0.623741573794
U 10277,0.908126882397,-0.338517426905,-0.246397072121
U 10664,0.979825028219,-0.157085856597,0.123559490660
