number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
33,,0,51,51,6,10.2,6.8,135,7.3,1651,7.5,883,8,,,
34,77 PSC,0,59,21,4,14.6,5.9,175,6.7,1905,8,,,6,5.9,6
34,77 PSC,0,59,23,4,14.6,5.9,176,8.2,1908,9,,,6,5.9,6
35,,1,0,30,10,53.0,7.2,128,7.6,1955,8.5,1049,7,,,
36,80 e PSC,1,1,56,4,59.3,5.5,190,6.0,2005,5.8,,,5.7,5.7,5.7
37,,1,3,33,15,0.6,6.2,175,6.4,2068,6.5,14,7,,,6.3
38,,1,4,56,9,37.6,6.6,138,7.0,2123,7.2,39,7,,,
39,,1,5,45,11,37.2,6.9,158,6.8,2143,8,55,7,,,
40,89 f PSC,1,11,21,2,57.4,5.2,185,5.5,2329,5.5,,,5.3,5.2,5
41,,1,21,50,7,18.8,5.9,213,7.0,2677,7,347,7,,,6.3
42,96 PSC,1,22,32,6,38.9,6.6,228,7.2,,,357,8,,,6.3
43,MU PSC,1,23,38,5,29.9,5.0,194,5.0,,,379,6,5,4.9,5
44,,1,26,45,7,34.0,6.7,229,6.8,2824,7.2,439,7,,,6.3
45,,1,28,19,7,38.0,7.2,234,7.3,2883,8,469,7,,,
46,,1,29,5,14,1.3,6.4,240,6.6,2911,7,483,7,,,
47,,1,29,31,7,0.3,7.0,244,6.9,2927,7.8,490,7,,,
48,,1,30,10,7,11.5,6.7,240,6.9,2945,7.2,498,7,,,
49,PI PSC,1,30,29,11,30.0,5.5,205,6.0,2951,5.7,501,6.5,6,5.9,5.7
50,,1,32,33,13,39.1,7.2,255,7.5,2996,7,(541),8,,,
51,,1,34,0,8,7.5,6.5,258,6.7,3070,7.5,579,6.5,,,6.3
52,,1,36,0,9,36.9,7.3,206,8.2,3141,8,633,8,,,
53,OMI PSC,1,38,48,8,31.7,4.3,273,4.5,3212,6,688,9,4,4.1,4.3
54,,1,39,8,7,55.9,6.7,275,7.3,,,,,,,
55,,1,40,31,10,13.2,7.1,241,6.8,3261,7,709,8,,,
56,,1,42,7,7,3.6,7.3,275,7.3,3303,8,736,7.5,,,
57,54 CET,1,44,14,10,25.5,6.2,252,5.5,3380,6,767,7.5,,6.0,6
58,GAM ARI,1,46,40,18,41.0,3.8,243,3.5,3449,4.7,,,3.7,3.8,3.7
59,,1,46,49,12,4.0,7.2,248,7.2,3461,7.5,817,8,,,
60,XI PSC,1,47,5,2,34.2,4.7,290,4.5,3478,5.5,827,5.5,4,4.2,4
61,,1,47,22,10,0.7,7.0,235,7.1,3485,7,830,7,,,
62,BET ARI,1,47,44,20,11.8,2.7,306,2.5,3495,3.2,,,3,2.7,3
63,,1,47,45,10,47.3,7.6,257,8.0,,,834,8,,,
64,,1,47,46,8,9.9,6.8,292,7.0,3504,7.5,837,7,,,
65,ALF PSC,1,55,35,2,9.6,3.8,317,3.5,3768,3.5,,,3.3,3.5,3.3
66,,1,56,17,10,24.9,6.8,275,7.0,3779,7,,,,,
67,,1,57,24,7,29.8,7.2,317,7.5,3803,8,1001,8,,,
68,,1,59,12,6,25.8,6.9,324,7.0,3856,8,1031,7,,,
69,XI ARI,2,18,7,10,2.7,5.6,316,5.7,4449,7.5,268,7,5.3,5.5,5.3
70,,2,20,3,10,0.1,6.7,321,7.0,4510,7.2,305,8,,,
71,,2,20,46,9,38.7,6.7,322,7.3,4532,7.2,316,7.2,,,
72,XI2 CET,2,21,31,7,53.9,4.4,388,4.5,4557,5.5,329,5,4,4.0,4
73,,2,22,55,9,0.4,6.4,385,6.3,4602,7,358,7,,,6.3
74,,2,27,17,11,38.3,7.6,354,7.2,,,,,,,
75,,2,27,40,11,3.4,7.0,340,6.9,4759,8,434,8,,,
76,NU CET,2,29,19,5,2.8,5.1,418,5.3,,,472,5,5,5.1,4.7
