number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
473,,16,49,30,13,49.5,6.7,3258,6.3,30793,6,924,7,,,
474,54 HER,16,49,53,18,38.1,6.0,3266,4.8,30808,6,1519,5.5,6,6.0,5.3
475,,16,51,14,6,24.5,7.3,3322,7.0,30838,6.5,950,7,,,
476,,16,54,23,6,46.4,6.8,3332,7.0,30930,6.5,1008,7,,,6.3
477,,16,55,15,7,36.9,7.2,3287,7.2,,,,,,,
478,,16,55,49,8,37.8,6.6,3337,6.5,30979,6,1044,7,,,6.3
479,60 HER,16,59,35,12,54.8,5.4,3142,4.5,31096,5,1109,6,5,5.2,5
480,,17,0,19,10,37.5,6.6,3142,6.8,31124,6.5,,,,,
481,,17,3,46,10,12.3,7.2,3153,7.5,31236,7,28,7.5,,,
482,,17,4,57,12,37.5,6.8,3161,7.0,31270,7,49,7,,,
483,,17,5,43,8,2.9,6.5,3367,6.2,31288,6,62,7,,,6.3
484,37 OPH,17,6,34,10,44.3,5.9,3165,5.8,31309,5.8,,,6,5.7,5.7
485,e OPH,17,12,44,11,0.1,5.7,3156,5.0,,,,,5,5.3,5
486,,17,12,46,6,13.1,6.6,3386,7.0,31476,6.5,196,7,,,
487,,17,17,59,8,58.2,6.1,3405,6.2,31665,5.5,298,6,6,6.0,6
488,,17,20,17,7,42.4,6.3,3368,6.5,31741,6,,,6,6.1,6
489,SIG OPH,17,20,19,4,15.0,4.7,3422,4.0,,,,,5,4.5,4.3
490,,17,22,1,11,29.8,7.0,3183,8.6,31798,9,371,9,,,
490,,17,22,2,11,29.7,7.0,3184,7.0,31799,7.5,372,7,,,
491,,17,22,54,10,38.3,7.3,3216,7.2,31835,7,390,7,,,
492,,17,24,33,12,1.3,6.4,3234,6.5,31891,8.5,433,6,,,
493,,17,26,26,12,1.3,6.5,3241,6.7,31957,8,469,6,,,
494,53 f OPH,17,28,41,9,40.3,5.8,3424,6.7,32029,6.5,518,7,6,6.0,6
495,,17,32,50,2,6.1,6.5,3373,6.7,32176,7,619,7,,6.1,6
496,61 OPH,17,38,17,2,38.1,5.9,3390,6.5,32378,7,729,6.5,6,6.1,6
496,61 OPH,17,38,19,2,38.1,5.9,3391,6.5,32380,7,730,6.5,6,6.1,6
497,,17,38,36,14,28.0,6.4,3329,6.0,32410,6,744,7,6,6.1,6
498,,17,39,35,11,11.8,7.4,3251,7.2,32434,7,757,7,,,
499,GAM OPH,17,41,38,2,45.4,3.8,3403,3.5,32494,3,805,4,3.7,3.6,3.7
500,,17,42,7,3,50.9,6.6,3493,6.9,32514,6,815,6.5,,,6.3
501,,17,47,9,6,7.7,6.2,3556,5.9,32707,6,,,,6.1,6.3
502,,17,48,23,11,10.0,6.6,3283,6.5,32762,6.5,962,6.5,,,6.3
503,,17,50,52,6,30.6,6.5,3578,6.8,,,,,,,6.3
504,,17,51,36,11,3.7,6.4,3299,6.5,,,1038,6,,,6.3
505,66 OPH,17,54,4,4,22.7,5.4,3570,5.3,,,1100,5,5,5.0,5
506,,17,54,15,8,51.8,7.2,3555,7.0,32991,7,1112,7,,,
507,67 OPH,17,54,25,2,55.7,4.2,3458,4.0,32990,8.5,1114,4,4,3.9,4
508,93 HER,17,54,29,16,45.6,5.3,3335,4.9,33009,4.5,1700,5,5,4.9,5
509,,17,54,47,6,16.5,6.7,3597,7.0,33008,6.5,1122,7,,,
510,,17,54,48,9,34.2,7.4,3534,7.0,33015,7,1124,7,,,
511,68 OPH,17,55,25,1,18.7,5.1,3560,4.5,33027,5.5,,,4.3,4.4,4.7
512,,17,55,42,11,17.4,7.3,3315,7.5,33059,8,1145,7,,,
513,70 OPH,17,59,8,2,31.8,4.2,3482,4.0,33169,5,1228,5,4.3,4.1,4.3
514,,17,59,52,11,59.7,6.7,3382,7.6,33197,8.5,,,,,6.3
514,,17,59,55,11,59.7,6.7,3383,7.5,33199,8,,,,,6.3
515,71 OPH,18,1,20,8,43.2,5.0,3582,5.0,33262,4.5,,,5,4.9,5
516,72 OPH,18,1,26,9,32.9,3.6,3564,3.3,,,1282,5,3.3,3.7,3.3
