number, magnitude, reference
8064, 9.2,
8065, 4.8,
8066, 9.5, OA. 5328
8067, 6.4, L. 2377
8068, 6.1, L. 2347
8069, 9, OA. 5329
8070, 7.2, L. 2346
8071, 6.0,
8072, 9.2, ZC. 1391
8073, 8, ZC. 1392
8074, 8.2, L. 2342
8075, 7.5, B. 1290
8076, 8, ZC. 1396
8077, 7.0, L. 2350
8078, 6.9, UA. 51
8079, 7.7, L. 2353
8080, 8.5, B. 1295
8081, 8.5, ZC. 1405
8082, 5.9, Ll. 12702
8083, 7.2, L. 2351
8084, 8, OA. 5339
8085, 7, L. 2369
8086, 9.2, ZC. 1421
8087, 8, B. 178
8088, 6.4,
8089, 8, OA. 5344
8090, 6.8, WB. 917
8091, 10.5, comes, n. pr.
8092, 8.5, ZC. 1437
8093, 6, L. 2359
8094, 7.7, B. 1300
8095, 7.5, L. 2360
8096, 7.5, L. 2362
8097, 8.2, ZC. 1448
8098, 9.5, comes, n. pr.
8099, 8.5, ZC. 1449
8100, 8, OA. 5352
8101, 4.1,
8102, 8.2, ZC. 1453
8103, 7.7, ZC. 1455
8104, 7, L. 2355
8105, 7.5, OA. 5355
8106, 9.5, OA. 5359
8107, 9.2, comes, n. pr.
8108, 8.7, ZC. 1460
8109, 6.7, Ll. 12755
8110, 7.2, L. 2371
