17905, 6.3, F. 50
17906, 10.5, 
17907, 6.4, L. 5409
17908, 8.5, B. (4342)
17909, 7.5, L. 5417
17910, var., L. 5412
17911, 8.5, OA. 12686
17912, 4.7, 
17913, 6.5, L. 5413
17914, 8.5, ZC. 197
17915, 9.5, 
17916, 10, 
17917, 8.5, B. 4344
17918, 8.5, OA. 12688
17919, 9, OA. 12692
17920, 8.5, ZC. 214
17921, 7.0, L. 5411
17922, 6.3, L. 5406
17923, 7.5, L. 5415
17924, 9, Melb.I. 656
17925, 6.1, L. 5420
17926, 8, OA. 12695
17927, 7.3, L. 5414
17928, 8.2, B. 4349
17929, 5.7, L. 5422
17930, 8, ZC. 250
17931, 8.7, Ll. 24465
17932, 8.2, L. 5419
17933, 8.5, OA. 12696
17934, 7.6, L. 5421
17935, 7.0, Ll. 24471
17936, 5.4, L. 5418
17937, 9.5, ZC. 261
17938, 7, L. 5426
17939, 6.6, L. 5416
17940, 8.7, Y. 5476
17941, 8, ZC. 270
17942, 8, B. 4356
17943, 7.7, B. 4358
17944, 8.5, ZC. 275
17945, 6.6, L. 5428
17946, 7.5, L. 5423
17947, 8, ZC. 285
17948, 10, OA. 12704
17949, 5.2, L. 5429
17950, 7.0, L. 5425
17951, 8.5, Ll. 24493
17952, 9.7, ZC. 297
17953, 9, ZC. 301
17954, 8.7, ZC. 303
