number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
385,42 COM,13,3,55,18,11.5,4.5,2697,5.0,,,,,4.3,4.4,4.7
386,,13,8,17,11,59.8,6.0,2572,6.4,24586,5.5,104,7,6,5.9,6
387,,13,9,31,8,36.8,7.1,2690,7.0,24611,6.5,127,7,,,
388,59 e VIR,13,10,36,10,4.5,5.6,2531,6.0,24646,5.5,149,5.5,5,5.4,5.7
389,,13,11,5,14,20.0,5.8,2591,5.5,24662,5.5,161,6,6,5.7,5.7
390,SIG VIR,13,11,18,6,7.7,5.4,2722,5.2,24666,5,162,6,5,4.9,5
391,64 VIR,13,15,52,5,48.7,6.1,2737,6.5,24783,6,240,7,6,6.0,6
392,,13,18,20,13,5.0,6.7,2663,6.5,24844,6.5,275,7,,,6.3
393,70 VIR,13,22,20,14,26.8,5.4,2621,5.5,24926,6,335,5,5,5.1,5.3
394,71 VIR,13,23,2,11,28.0,6.0,2575,6.4,24951,6,352,7,6,6.0,6
395,,13,23,40,6,39.5,6.7,2750,7.0,24967,6.2,364,7,,,6.3
396,,13,23,44,7,49.5,6.5,2655,6.7,24972,6,365,6.5,,,6.3
397,,13,24,26,9,57.8,7.1,2553,7.5,24991,7,377,7,,,6.3
398,,13,26,51,6,29.7,6.7,2756,7.0,25050,6.5,428,7,,,6.3
399,o VIR,13,27,48,4,18.1,5.2,2764,5.0,25083,5.3,446,7,5,5.0,5
400,ZET VIR,13,28,19,0,2.7,3.6,3076,3.5,25101,3,457,4,3.3,3.2,3.3
401,,13,28,53,13,9.3,6.8,2683,6.7,25122,7,470,7,,,6.3
402,,13,29,38,8,55.9,7.2,2785,7.3,25140,6.8,488,7,,,6.3
403,,13,33,25,11,22.9,5.9,2589,5.7,25224,6,557,7,5,5.3,5
404,,13,36,4,9,1.5,6.4,2798,6.5,25288,6,600,7,,6.1,
405,,13,39,3,10,57.3,6.7,2599,6.9,25363,6.5,655,7,,,
406,TAU BOO,13,41,20,18,4.8,4.7,2782,4.6,25426,4.5,849,5,4.7,4.9,4.7
407,UPS BOO,13,43,27,16,25.1,4.2,2564,4.2,25473,4.5,,,4.3,4.2,4.3
408,TAU VIR,13,55,17,2,9.0,4.4,2761,4.2,25747,5,934,5,4,4.2,4
409,,13,56,25,10,17.6,6.4,2617,6.6,25792,6,960,7,,,
410,,13,57,23,11,24.3,6.4,2615,7.0,25818,6,983,6.5,,,
411,,13,57,25,8,8.8,6.6,2810,7.0,25816,6,982,7,,,6.3
412,,13,57,39,5,30.2,6.5,2836,6.5,25827,6,,,,,6.3
413,,14,7,45,12,35.1,6.9,2667,6.8,26076,6.5,101,7,,,6.3
414,14 BOO,14,8,5,13,32.8,6.0,2764,6.2,26086,6,106,6,6,5.7,5.7
415,,14,8,38,14,34.0,6.8,2718,6.8,,,,,,,6.3
416,15 BOO,14,8,44,10,41.5,5.8,2654,5.3,26100,5.5,121,6,6,5.5,5.3
417,,14,10,6,6,39.7,7.6,2863,7.3,,,146,8,,,
418,,14,11,29,15,50.6,6.4,2690,6.2,26156,6.5,220,6,,,6.3
419,,14,12,30,11,5.3,7.5,2662,7.0,26181,7,,,,,
420,18 BOO,14,13,13,13,34.9,5.8,2782,5.7,26202,6,215,6,6,5.7,5.7
421,,14,20,55,10,32.8,7.4,2685,7.4,26399,7.2,365,8,,,
422,,14,22,27,10,53.4,7.2,2688,7.7,26436,8,389,8,,,
423,,14,24,30,5,19.8,6.4,2886,6.3,26492,6,427,7,,,6.3
424,,14,26,48,5,52.8,6.9,2889,7.2,26544,6.5,464,7,,,
425,32 BOO,14,35,44,12,12.1,6.0,2729,5.3,26777,6,638,6,6,6.0,5.7
426,,14,39,18,11,7.7,7.4,2718,6.5,26885,7,708,7,,,
427,,14,39,54,13,38.0,7.0,2838,7.2,26914,7,722,7,,,
428,,14,42,41,6,28.9,6.8,2946,7.5,26980,6,777,7.5,6,,6.3
