number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
561,28 A AQL,19,13,49,12,8.7,5.9,3879,5.5,,,309,7,6,5.9,6
562,,19,14,0,11,18.3,6.6,3802,6.2,,,,,,6.1,6.3
563,,19,15,7,13,20.7,7.5,3988,7.0,,,,,,,
564,,19,16,51,9,40.1,6.6,4081,6.5,36542,6,378,7,,,6
565,31 b AQL,19,19,0,11,40.5,5.6,3833,5.5,36647,6.5,,,5.3,5.4,5.3
566,,19,20,36,12,46.4,6.2,3907,6.0,36715,6.5,474,7,6,6.0,6
567,,19,21,49,14,1.9,6.6,4020,6.0,36781,,511,7,6,,6
568,35 c AQL,19,22,42,1,41.9,6.1,4010,6.3,36803,5,531,7,5.7,6.1,6
569,,19,23,38,14,20.4,5.9,3936,6.0,36867,6,562,6,6,6.0,6
570,,19,24,18,3,11.1,6.3,4043,7.0,36890,6.5,573,7,,,6.3
571,MU AQL,19,27,59,7,6.9,5.3,4132,4.8,37044,4.5,,,4.7,4.7,4.7
572,,19,29,8,2,38.2,6.6,3932,7.2,37085,6.5,703,8,,,6.3
573,,19,30,58,10,59.8,6.5,3984,6.1,37191,6,760,6.5,6,6.1,6
574,,19,32,34,3,6.0,6.4,4097,7.0,37262,6.5,,,,,6.3
575,SIG AQL,19,33,1,5,6.9,5.7,4225,5.0,37279,5,819,6,5,5.4,5
576,,19,35,18,13,31.6,6.1,4098,5.8,37394,6,884,7.5,6,6.1,6
577,CHI AQL,19,36,41,11,32.0,5.8,3955,5.7,37451,5.2,921,6,6,5.7,5.7
578,PSI AQL,19,38,45,13,0.3,6.2,4059,6.0,37536,6.5,972,7,6,,6.3
579,UPS AQL,19,39,35,7,18.8,6.2,4210,6.0,37569,5.5,990,5,6,6.0,6.3
580,PI AQL,19,42,49,11,30.4,6.6,3994,5.8,,,1064,7,6,6.1,6
581,o AQL,19,45,2,10,6.3,5.7,4073,5.5,,,1118,6,5.7,5.8,5.7
582,XI AQL,19,48,11,8,8.4,5.3,4261,5.2,37897,4.5,1201,5.5,5,4.8,5.3
583,,19,48,34,6,48.9,6.6,4351,7.0,,,,,,,6.3
584,PHI AQL,19,50,19,11,5.6,5.7,4055,5.5,38001,5.2,1242,6,5.3,5.4,5.3
585,14 SGE,19,57,47,15,40.9,6.0,4033,5.0,,,1868,6.5,6,6.0,5.7
586,TAU AQL,19,58,2,6,55.6,5.9,4416,6.0,38332,5.5,,,5.7,5.9,6
587,,20,0,33,7,12.2,6.8,4366,8.3,38426,8,1496,7,,,
587,,20,0,33,7,13.2,6.8,4367,7.8,38442,7.5,1497,7.5,,,
588,,20,1,49,9,2.3,6.6,4344,6.5,38506,6.2,1531,7,6,,6
589,,20,2,41,10,21.8,6.4,4189,6.0,38554,6,9,7.5,6,,6
590,,20,4,5,8,5.1,6.7,4358,6.5,38612,6.5,45,6.5,,,
591,,20,7,9,11,28.7,6.6,4180,6.3,38757,7,,,,,
592,RHO AQL,20,8,29,14,49.1,5.4,4227,5.0,38818,5.5,,,5,4.9,5
593,,20,8,53,10,5.0,7.0,4224,7.0,38830,6.5,,,,,
594,,20,9,24,9,46.3,7.3,4461,7.5,38849,7,190,8.5,,,
595,,20,10,58,8,34.7,6.5,4393,6.7,38934,6.2,231,6,,,
596,,20,14,41,17,24.1,6.2,4294,6.2,39102,6.5,,,5.7,5.9,6
597,,20,16,59,4,56.7,5.8,4434,5.5,39176,6.5,392,6,5.7,5.6,5.7
598,,20,17,27,9,57.7,6.7,4508,7.0,39201,6.5,401,7.5,,,
599,,20,18,34,8,11.7,6.7,4226,6.9,39250,7,,,,,6.3
600,,20,19,17,6,14.3,6.7,4522,7.0,39276,7.5,454,7,,,
601,,20,19,43,9,39.2,6.4,4526,6.5,39304,6.5,465,7.5,,,
602,,20,22,2,8,1.5,6.3,4477,6.5,39389,6,,,,,6.3
603,,20,23,55,9,53.3,6.9,4551,6.8,39462,7,,,,,
604,1 DEL,20,24,19,10,28.7,6.1,4303,5.8,39485,6,,,,,6
