13613, 8.2, ZC. 4106
13614, 6.2, Ll. 19556
13615, 8, G. (1169)
13616, 7.7, L. 4100
13617, 6.8, Ll. 19561
13618, 5.6, 
13619, 8.5, ZC. 4126
13620, 7.5, B. 2762
13621, 8.2, ZC. 4132
13622, 7, L. 4105
13623, 6.8, L. 4116
13624, 8, B. 2765
13625, 7.7, ZC. 4162
13626, 7.5, L. 4104
13627, 9, ZC. 4165
13628, 7.7, OA. 10279
13629, 8.2, G. 1170
13630, 8.2, ZC. 4172
13631, 10, 
13632, 8.2, ZC. 4181
13633, 6.6, L. 4113
13634, 8, ZC. 4184
13635, 9.2, 
13636, 8.5, ZC. 4185
13637, 7.2, L. 4098
13638, 8.2, ZC. 4193
13639, 6.9, L. 4101
13640, 7.5, L. 4109
13641, 9.5, ZC. 4199
13642, 7.2, Ll. 19580
13643, 9, ZC. 4213
13644, 9.2, ZC. 4214
13645, 8.2, ZC. 4219
13646, 8.5, Y. 4170
13647, 9.2, OA. (10277)
13648, 8.5, ZC. 4225
13649, 8, B. 2768
13650, 8.2, ZC. 4230
13651, 7.7, L. (4108) B. 2773
13652, 8, Ll. 19590
13653, 9, OA. (10280)
13654, 9.5, ZC. 4246
13655, 7.7, L. 4112
13656, 8.5, B. 2771
13657, 9, 
13658, 8, ZC. 4261
13659, 7.2, L. 4117
13660, 7.7, ZC. 4270
13661, 8, B. 2811
13662, 8.5, Ll. 19609
13663, 8, L. 4121
13664, 8.2, M. 882
13665, 7.7, ZC. 4293
13666, 7, Ll. 19620
13667, 7.5, L. 4107
13668, 8, OA. 10300
