24076, 8.5, ZC. 2577
24077, 8.5, M. 1645
24078, 8, ZC. 2584
24079, 8, L. 7410
24080, 6.8, L. 7396
24081, 7.5, ZC. 2596
24082, 7.7, ZC. 2599
24083, 9.5, 
24084, 7.7, ZC. 2603
24085, 8.2, B. 6192
24086, 7.7, P. 208
24087, 6.4, L. 7413
24088, 8.2, ZC. 2610
24089, 8, ZC. 2611
24090, 9.2, M. 1646
24091, 6.6, L. 7403
24092, 9, ZC. 2614
24093, 7.5, L. 7418
24094, 8.7, ZC. 2621
24095, 10, 
24096, 8.5, ZC. 2625
24097, 7.2, L. 7424
24098, 9.2, 
24099, 7.2, ZC. 2629
24100, 7.7, L. 7423
24101, 8, OA. 17176
24102, 8.5, M. 1648
24103, 7.7, B. 6197
24104, 9, ZC. 2639
24105, 8, ZC. 2644
24106, 7.1, L. 7408
24107, 3.3, 
24108, 7.5, L. 7422
24109, 7.7, ZC. 2649
24110, 8.5, OA. 17182
24111, 8, Y. 7397
24112, 9.5, M. 1649
24113, 8.5, ZC. 2666
24114, 9.7, 
24115, 9.5, 
24116, 9.2, ZC. 2675
24117, 8.5, M. 1650
24118, 7, L. 7430
24119, 8.5, M. 1651
24120, var., 
24121, 7.2, B. 6205
24122, 8.5, B. 6199
24123, 8, ZC. 2692
24124, 9, OA. 17202
24125, 9, ZC. 2696
24126, 8, ZC. 2698
24127, 8.7, M. 1652
24128, 7.5, L. 7435
24129, 7.5, ZC. 2702
24130, 7.2, L. 7433
24131, 9.5, 
24132, 9.7, 
24133, 9.5, 
24134, 7.7, L. 7431
