1238, 6.9, L. 358
1239, 8.7, ZC. 347
1240, 8.7, OA. 758
1241, 6.1, F. 42
1242, 8.5, OA. 759
1243, 9.5, ZC. 350
1244, 8, ZC. 351
1245, 8, L. 366
1246, 9, ZC. 353
1247, 8.5, ZC. 354
1248, 8.2, ZC. 356
1249, 9.5, 
1250, 6.7, Ll. 2408
1251, 6.7, Ll. 2416
1252, 8.5, OA. 763
1253, 8.5, 
1254, 7.7, ZC. 362
1255, 8.5, ZC. 364
1256, 7.7, ZC. 370
1257, 7.5, L. 365
1258, 6.4, Ll. 2424
1259, 6.3, Ll. 2426
1260, 8.5, B. 183
1261, 8.7, ZC. 373
1262, 7, L. 362
1263, 7, Ll. 2436
1264, 8.5, OA. 774
1265, 7, L. 364
1266, 9, ZC. 383
1267, 9, ZC. 385
1268, 8, OA. 776
1269, 8.7, ZC. 387
1270, 7.7, ZC. 390
1271, 9, B. (184)
1272, 9.7, 
1273, 6.6, Ll. 2441
1274, 7, L. 368
1275, 7.7, L. 380
1276, 6.6, L. 367
1277, 8.5, ZC. 395
1278, 8.5, ZC. 397
1279, 7.5, Melb.I. 89
1280, 6.8, L. 369
1281, 8.5, OA. 781
1282, 9, ZC. 401
1283, 9, ZC. 404
1284, 8.7, ZC. 405
1285, 8.2, OA. 784
1286, 7.2, L. 383
1287, 6.9, L. (370)
1288, 8.5, ZC. 412
1289, 7.5, ZC. 416
