22542, 9, L. 6909
22543, 7.2, L. 6925
22544, 8.5, ZC. 2255
22545, 10, 
22546, 6.9, L. 6924
22547, 8.5, B. 5793
22548, 7.3, L. 6923
22549, 8.5, L. 6926
22550, 8, OA. 15812
22551, 9, Melb.I. 844
22552, 9, ZC. 2278
22553, 9, M. 1462
22554, 8.2, ZC. 2285
22555, 9, ZC. 2290
22556, 7.0, B. 5799
22557, 6.7, Ll. 30273
22558, 7.7, Ll. 30277
22559, 9.7, 
22560, 9.5, ZC. 2304
22561, 7.4, L. (6892) B. 5791
22562, 6.8, Ll. (30276)
22563, 6.8, WB. 619
22564, 8.2, B. 5800
22565, 9, ZC. 2321
22566, 9.2, M. 1464
22567, 8.2, B. 5802
22568, 9, M. 1465
22569, 8, L. 6931
22570, 6.4, L. 6930
22571, 7.0, L. 6935
22572, 8.5, OA. 15832
22573, 8.7, B. 5801
22574, 6.6, B. 5805
22575, 9.5, 
22576, 6.3, L. 6940
22577, 6.9, 
22578, 7.0, Ll. 30308
22579, 8.5, B. 5796
22580, 8.5, ZC. 2371
22581, 9, OA. 15840
22582, 5.6, L. 6906
22583, 6.9, L. 6933
22584, 7.5, L. 6937
22585, 6.9, Ll. 30317
22586, 7.7, L. 6942
22587, 8.5, B. 5806
22588, 5.5, By. 2114
