23256, 8, 
23257, 5.9, L. 7159
23258, 7.2, Ll. 31199
23259, 7.0, L. 7152
23260, 8.5, OA. 16416
23261, 6.8, L. 7160
23262, 6.5, Ll. 31210
23263, 8, P. 308
23264, 7.5, Ll. 31212
23265, 8.7, ZC. 268
23266, 8, ZC. 274
23267, 7.2, L. 7154
23268, 8, ZC. 276
23269, 7.6, L. 7158
23270, 8.2, OA. 16435
23271, 10, 
23272, 7.0, L. 7165
23273, 8, B. 5989
23274, 7.7, B. 5991
23275, 6.6, L. 7169
23276, 6.3, L. 7167
23277, 8.2, ZC. 306
23278, 9.7, 
23279, 8.5, B. (5974)
23280, 9.2, M. (1543)
23281, 6.9, L. 7163
23282, 7.5, L. 7142
23283, 8.5, P. 1
23284, 8, OA. 16450
23285, 6.3, L. 7166
23286, 9.7, 
23287, 8.7, ZC. 332
23288, 8, M. 1544
23289, 8.7, ZC. 334
23290, 7.7, ZC. 337
23291, 9.2, M. 1545
23292, 9.5, ZC. 342
23293, 8.7, ZC. 349
23294, 8, ZC. 351
23295, 9, OA. 16460
23296, 7, L. 7168
23297, 9.5, 
23298, 7.2, B. 5994
23299, 8, ZC. 361
23300, 9.7, M. 1546
23301, 8, B. (5979)
23302, 8, ZC. 373
23303, 9.2, 
23304, 9.5, ZC. 372
23305, 8.5, M. 1547
23306, 7.0, L. 7171
23307, 9.5, ZC. 384
23308, 8, ZC. 385
23309, 8, B. 5997
23310, 9.5, ZC. 387
23311, 8, ZC. 390
23312, 7.1, L. 7127
23313, 8.2, ZC. 394
23314, 7.5, L. 7164
23315, 7.7, ZC. 397
23316, 8, ZC. 398
23317, 7.0, L. 7175
23318, 7.7, ZC. 407
23319, 9, M. 1549
23320, 10, Cape III. 723
