22846, 7.2, L. 7035
22847, 7.5, B. 5884
22848, 9, ZC. 3278
22849, 8, OA. 16068
22850, 6.9, L. 7008
22851, 8.2, B. 5880
22852, 7.5, Y. 6981
22853, 9.5, OA. 16071
22854, 6.9, L. 7024
22855, 7, ZC. 3302
22856, 7.6, L. 7040
22857, 8, ZC. 3306
22858, 6.9, L. 6905
22859, 6.8, P. 215
22860, 6.6, L. 7021
22861, 7.1, L. (7043)
22862, 7.1, L. 7031
22863, 7.2, L. (7041)
22864, 8.5, ZC. 3323
22865, 8.7, 
22866, 8.2, OA. 16082
22867, 9.5, 
22868, 7.7, L. 7030
22869, 8.5, ZC. 3338
22870, 7.0, L. 7038
22871, 7.7, L. 7046
22872, 8, OA. 16087
22873, 6.9, L. 7044
22874, 8.5, M. 1501
22875, 9.5, M. 1502
22876, 8, 
22877, 9, B. 5885
22878, 7.2, L. 7051
22879, 8, B. 5886
22880, 7.4, L. 7013
22881, 8, OA. 16097
22882, 7.0, L. 7047
22883, 9.2, ZC. 3368
22884, 8, St. 9198
22885, 7.5, L. 7027
22886, 7.5, L. 6988 6990
22887, 7.5, B. 5891
22888, 8, OA. 16100
22889, 8.2, ZC. 3392
22890, 6.5, Ll. 30728
22891, 6.7, Ll. 30718
22892, 9, 
22893, 8, Y. 6997
22894, 7.0, L. 7049
22895, 10.2, 
22896, 7.2, L. (7053)
22897, 8, L. 7032
