26459, 6.9, L. 8072
26460, 8.5, L. 8036
26461, 6.8, L. 8057
26462, 5.4, 
26463, 8.2, B. 6626
26464, 8, ZC. 556
26465, 9.5, ZC. 558
26466, 9, M. 1892
26467, 9.2, ZC. 559
26468, 7.2, L. 8063
26469, 6.5, L. 8068
26470, 8, ZC. 565
26471, 8.5, ZC. 566
26472, 7.3, L. 8080
26473, 7.2, L. (8031) G. 1792
26474, 5.9, Ll. 36327
26475, 9.5, ZC. 576
26476, 6.9, L. 8077
26477, 8.7, OA. 19401
26478, 7.7, B. 6634
26479, 6.7, L. 8074
26480, 9.2, OA. 19404
26481, 8.5, OA. 19405
26482, 8.5, Cape III. 877
26483, 7.7, OA. 19413
26484, 7.0, L. 8069
26485, 4, 
26486, 7, ZC. 592
26487, 9, ZC. 594
26488, 7.0, L. 8081
26489, 8.2, ZC. 596
26490, 8.7, ZC. 597
26491, 8, ZC. 599
26492, 5.6, 
26493, 8.5, ZC. 601
26494, 6.8, Ll. 36385
26495, 8.7, ZC. 604
26496, 7, L. 8085
26497, 5.9, 
26498, 7.0, L. 8084
26499, 7.7, L. 8071
26500, 4.4, 
26501, 8.2, OA. 19423
26502, 8, B. 6638
26503, 9, ZC. 618
26504, 8.5, ZC. 620
26505, 6.5, Ll. 36376
26506, 8, Melb.I. 983
26507, 7.2, ZC. 625
26508, 4.2, 
26509, 6.5, 
26510, 4.9, 
26511, 10.5, 
26512, 6.9, L. 8056
26513, 7.5, Ll. 36420
26514, 8.2, ZC. 635
