7317, 8.7, ZC. 104
7318, 8, ZC. 107
7319, 8.2, ZC. 108
7320, 8, ZC. 109
7321, 6.1, L. 2142
7322, 8.2, ZC. 111
7323, 6.9, Ll. 11702
7324, 8, L. 2156
7325, 9, ZC. 115
7326, 8.5, OA. 4680
7327, 7.0, L. 2148
7328, 6.9, WB. 10
7329, 7.5, B. 1148
7330, 6.9, Ll. 11706
7331, 8.7, OA. 4681
7332, 6.8,
7333, 9.5, B. 1154
7334, 7, L. 2169
7335, 8, L. (2150)
7336, 7.7, L. 2149
7337, 8, ZC. 130
7338, 8.2, B. 1155
7339, 7.7, OA. 4684
7340, 6.8, Ll. 11723
7341, 7.2, L. 2151
7342, 8.5, ZC. 135
7343, 5.3,
7344, 8.2, ZC. 142
7345, 7.2, L. 2193
7346, 7.0, L. 2160
7347, 7.5, L. 2158
7348, 6.6, Ll. 11730
7349, 8.5, B. 1152
7350, 7.0, L. (2161), B. 1151
7351, 7, L. 2165
7352, 9, ZC. 152
7353, 5.9, Ll. 11761
7354, 8.7, ZC. 161
7355, 8.2, G. 231
7356, 6.7, Ll. 11760
7357, 9, ZC. 168
7358, 6.0, WB. 58
7359, 5.8, red
7360, 8.2, ZC. 171
7361, 9.2, OA. 4704
7362, 8.2, ZC. 174
7363, 6.7, L. 2167
7364, 8.7, Melb.I. 292
7365, 8.5, B. 1161
7366, 9.5, ZC. 180
7367, 8.7, ZC. 181
7368, 8, L. 2170
7369, 8.5, ZC. 184
7370, 8.5, ZC. 185
7371, 8.2, ZC. 186
7372, 8, L. 2162
7373, 8.7, OA. 4716
7374, 8, B. 1162
