10883, 7.7, L. 3225
10884, 6.8, L. 3183
10885, 8.2, ZC. 519
10886, 7.5, L. 3216
10887, 8, G. 731
10888, 7.7, L. 3282
10889, 6.0, L. 3208
10890, 8.5, OA. 8193
10891, 7, L. 3195
10892, 8.7, ZC. 541
10893, 8.7, 
10894, 7.5, B. 1924
10895, 7.0, L. 3189
10896, 7.5, B. 1927
10897, 6.6, L. 3224
10898, 8, 
10899, 9.7, 
10900, 8, L. 3184
10901, 4.8, 
10902, 9, 
10903, 9, 
10904, 5.3, 
10905, 8.5, OA. 8200
10906, 8.5, ZC. 572
10907, 6.7, Lam. 1811
10908, 7.0, L. 3220
10909, 8, G. 736
10910, 8.5, ZC. 582
10911, 9.5, 
10912, 9, ZC. 587
10913, 5.4, L. 3197
10914, 9, 
10915, 7.2, UA. 11½
10916, 7.7, ZC. 604
10917, 8.7, OA. 8210
10918, 9, 
10919, 7.7, ZC. 613
10920, 6.3, L. 3205
10921, 9.5, WB. 140
10922, 8.5, 
10923, 4.7, 
10924, 8, 
10925, 5.7, F. 20
10926, 7, L. 3201
10927, 8.7, ZC. 630
10928, 9, G. 741
10929, 6.9, L. 3192
10930, 7.5, L. 3235
10931, 7.2, L. 3199
10932, 8.7, ZC. 646
10933, 8.2, 
10934, 7.3, L. 3207
