12938, 10, ZC. 1951
12939, 6.6, L. 3865
12940, 8.7, ZC. 1953
12941, 9.7, 
12942, 6, L. 3860
12943, 8.5, ZC. 1966
12944, 8.5, Y. (3966)
12945, 6.3, Ll. 18715
12946, 7.0, L. 3864
12947, 7.5, L. 3951
12948, 6.9, L. 3875
12949, 7.2, L. 3863
12950, 7.2, B. 2511
12951, 7.7, OA. 9784
12952, 9.2, 
12953, 8, Ll. 18717
12954, 8.7, Y. 3978
12955, 8.2, OA. 9789
12956, 7.2, L. 3879
12957, 9.7, 
12958, 8.7, St. 5102
12959, 7.2, L. 3872
12960, 7.2, L. 3874
12961, 10, G. 1097
12962, 8, L. 3886
12963, 8, B. 2514
12964, 7.7, L. 3883
12965, 8, L. 3870
12966, 9, Ll. 18747
12967, 7.7, L. 3941
12968, 7.7, ZC. 2034
12969, 7, L. 3873
12970, 9, 
12971, 7.7, L. 3887
12972, 8, B. 2518
12973, 9, OA. 9801
12974, 8.2, ZC. 2045
12975, 8.5, L. 3931
12976, 9.2, 
12977, 6.7, 
12978, 6.5, 
12979, 9.2, G. 1089
12980, 6.5, Ll. 18754
12981, 4.8, 
12982, 8.5, ZC. 2068
12983, 8.2, B. 2522
12984, 6.5, L. 3901
12985, 8.7, L. 3895
12986, 8.2, OA. 9807
12987, 9.2, 
