7961, 8, WB. 746
7962, 7.5, L. 2336
7963, 8.2, ZC. 1190
7964, 6.1, L. 2309
7965, 6.0, Ll. 12545
7966, 8.5, ZC. 1200
7967, 8.7, ZC. 1201
7968, 9.2, Ll. 12559
7969, 8.5, ZC. 1204
7970, 8.5, Ll. 12559
7971, 7.7, 
7972, 9, OA. 5227
7973, 9, ZC. 1211
7974, 6.9, Ll. 12570
7975, 9.2, OA. 5230
7976, 8.5, ZC. 1213
7977, 8.5, OA. 5233
7978, 6.0, Ll. 12552
7979, 7.7, L. 2317
7980, 7.2, Ll. 12576
7981, 8, L. 2335
7982, 8.2, ZC. 1218
7983, 9, ZC. 1220
7984, 7.7, Ll. 12564
7985, 5.9, 
7986, 7.5, L. 2339
7987, 6.6, L. 2320
7988, 6.8, L. 2348
7989, 4.5, 
7990, 8.5, ZC. 1233
7991, 5.5, L. 2333
7992, 6.5, L. 2319
7993, 7.2, L. 2318
7994, 8.5, ZC. 1243
7995, 7.7, L. 2325
7996, 6.8, Ll. 12582
7997, 8.2, ZC. 1249
7998, 6.5, L. 2326
7999, 8.7, ZC. 1254
8000, 8.2, OA. 5249
8001, 7.7, OA. 5251
8002, 8.7, ZC. 1262
8003, 8, ZC. 1263
8004, 6.9, L. 2324
8005, 8, ZC. 1265
8006, 5.7, Ll. 12587
8007, 6.9, L. 2343
8008, 6.9, L. 2331
8009, 9.7, Melb.I. 310
8010, 8.7, OA. 5260
8011, 7.7, L. 2327
8012, 7.3, L. 2323
8013, 8.2, OA. 5267
