number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
605,,20,25,15,10,50.5,6.4,4307,6.5,39522,8.2,606,8,,,
606,EPS DEL,20,27,14,10,52.8,4.2,4321,3.8,39607,4,658,5,4,3.9,4
607,,20,27,52,9,38.1,6.7,4579,7.5,39637,7,,,,,6.3
608,ETA DEL,20,28,2,12,36.0,5.8,4378,6.0,39650,6,,,5.7,5.9,5.7
609,,20,28,23,6,27.0,6.9,4576,6.8,39656,7.5,,,,,
610,,20,29,21,6,31.0,6.4,4584,7.2,39699,7.5,,,,,
611,ZET DEL,20,29,28,14,14.7,5.2,4353,4.5,39716,5.5,,,4.7,4.8,4.7
612,BET DEL,20,31,41,14,9.7,3.5,4369,3.5,39810,5,785,4,3.3,3.4,3.3
613,IOT DEL,20,31,51,10,56.6,5.9,4339,5.0,39814,5,789,7,6,5.8,5.7
614,THE DEL,20,32,50,12,52.7,6.3,4411,5.5,39855,7,815,6.5,6,6.1,6
615,KAP DEL,20,33,3,9,38.9,5.6,4600,5.5,39959,5,818,6,5,5.1,5
616,,20,33,52,10,48.4,6.5,4351,6.8,39902,7.5,,,,,
617,DEL DEL,20,37,38,14,37.7,4.5,4403,4.2,40006,4.2,945,5.5,4,4.2,4
618,,20,38,57,11,51.8,6.9,4368,6.1,40081,7,,,,,
619,13 DEL,20,41,37,5,33.0,5.8,4613,5.5,40150,6.2,,,6,5.8,5.7
620,14 DEL,20,43,41,7,24.0,6.4,4556,5.5,40227,6.5,1095,7,6,6.1,6
621,15 DEL,20,43,40,12,4.7,6.4,4472,5.5,40230,6.5,,,6,6.1,6
622,16 DEL,20,49,41,12,5.5,5.9,4501,5.7,40459,6,1245,6,5.7,5.8,5.7
623,17 DEL,20,49,42,13,14.8,5.6,4572,5.6,40461,6,1246,6,5.7,5.5,5.7
624,,20,51,52,7,34.9,7.0,4591,7.2,,,,,,,
625,18 DEL,20,52,25,10,21.5,5.8,4425,5.2,40567,5.8,1320,7,5.7,5.7,5.7
626,1 EQU,20,52,50,3,49.0,5.6,4473,5.5,40578,6.2,1328,6,5,5.3,5
627,,20,53,55,7,1.8,6.0,4718,6.5,40649,7,,,,,
628,2 EQU,20,56,3,6,41.4,6.9,4731,6.7,40730,7.5,1409,7.5,6,6.0,6
629,3 EQU,20,58,21,5,0.4,5.7,4606,5.5,40809,6.5,,,6,5.9,6
630,4 EQU,20,59,15,5,28.0,6.0,4697,6.2,,,,,6,6.0,6
631,,20,59,55,14,50.2,6.7,4530,7.0,40873,7,,,,,
632,,21,1,41,15,9.7,6.4,4340,6.5,40955,6.5,1553,7,,,
633,,21,2,3,14,10.3,6.9,4544,7.7,40968,7,1560,7.5,,,
634,DEL EQU,21,8,24,9,30.3,4.4,4746,4.7,41235,5.5,143,5,4.7,4.4,4.7
635,,21,11,16,7,42.8,7.0,4658,8.0,41344,7,,,,,
636,,21,12,23,8,23.2,7.0,4647,8.8,41381,8.5,246,9,,,
636,,21,12,28,8,26.2,7.0,4648,8.0,41383,7,249,8,,,
637,,21,13,33,9,0.0,6.9,4651,7.0,41428,7.5,271,8,,,
638,9 EQU,21,14,54,6,49.6,6.1,4802,6.0,41480,6,311,7,6,6.1,6
639,,21,15,16,9,48.3,6.7,4786,6.5,41497,7,322,7,,,
640,BET EQU,21,16,41,6,16.7,5.5,4811,5.1,41555,6,356,6.5,5,5.2,5
641,,21,18,18,9,38.3,6.4,4800,6.5,41615,6.5,396,7,6,,6
642,,21,20,49,10,7.6,6.9,4547,7.3,41712,7.5,457,7,,,
643,,21,21,3,4,51.2,6.9,4675,7.0,41723,7,461,7.5,,,
644,,21,22,48,10,32.4,6.5,4554,6.5,41776,7,,,,,
645,,21,23,22,6,2.1,6.7,4790,6.5,41790,7.5,512,7.5,,,
646,,21,26,7,10,21.6,7.0,4570,7.0,41905,7.5,584,7.5,,,
647,,21,31,13,4,7.3,6.6,4706,6.3,,,,,,,
648,3 PEG,21,31,30,6,3.4,6.0,4830,6.3,42126,7,720,7.5,6,6.1,6
