15248, 8.5, OA. 11171
15249, 7.2, ZC. 193
15250, 7.4, L. 4614
15251, 7.2, L. 4619
15252, 9, ZC. 197
15253, 5.8, By. 1544
15254, 6.8, Ll. 21348
15255, 7.0, L. 4616
15256, 8.5, ZC. 207
15257, 6.9, F. 66
15258, 8, B. 3415
15259, 9, ZC. 210
15260, 8.5, ZC. 213
15261, 8.7, ZC. 225
15262, 8.2, ZC. 226
15263, 8, ZC. 231
15264, 8.7, ZC. 241
15265, 8, B. 3418
15266, 4.6, 
15267, 9, ZC. 247
15268, 7, L. 4626
15269, 6.0, L. 4629
15270, 9, OA. 11190
15271, 7.5, L. 4631
15272, 8, ZC. 268
15273, 8, B. 3422
15274, 9.5, B. 3423
15275, 8.7, ZC. 272
15276, 8.5, B. 3424
15277, 8, ZC. 285
15278, 8.5, ZC. 286
15279, 5.9, L. 4623
15280, 8.7, ZC. 293
15281, 6.7, Ll. 21375
15282, 7.7, L. 4628
15283, 7.0, B. 3421
15284, 7.7, L. 4624
15285, 9, B. 3426
15286, 7.7, L. 4621
15287, 9, ZC. 300
15288, 8.2, OA. 11203
15289, 9, ZC. 303
15290, 7.5, L. 4634
15291, 9, ZC. 305
15292, 8.2, OA. 11205
15293, 7.5, B. 3429
15294, 8.5, ZC. 317
15295, 8.5, ZC. 318
15296, 7.7, B. 3428
15297, 8, L. 4630
15298, 8.5, ZC. 327
