22491, 2.6, 
22492, 8.2, M. 1456
22493, 8.5, B. (5780)
22494, 8.5, ZC. 2118
22495, 9.5, ZC. 2122
22496, 9.5, ZC. 2125
22497, 8.5, ZC. 2126
22498, 8, B. 5778
22499, 8.5, M. 1458
22500, 8.5, M. 1459
22501, 9.2, OA. 15781
22502, 7.3, L. 6902
22503, 6.2, L. 6910
22504, 6.6, L. 6881
22505, 8, Ll. 30207
22506, 10.2, 
22507, 9, OA. 15782
22508, 8.5, Ll. 30213
22509, 6.8, L. 6903
22510, 7.7, L. 6877
22511, 9, ZC. 2179
22512, 7.0, Ll. 30222
22513, 8, ZC. 2181
22514, 6.4, Ll. 30232
22515, 8.2, ZC. 2186
22516, 7.5, L. 6919
22517, 7, L. 6907
22518, 9, L. 6914
22519, 6.9, L. 6895
22520, 7.2, L. 6896
22521, 7.7, L. 6893
22522, 7.7, L. 6920
22523, 7.5, B. 5786
22524, 7.2, B. 5787
22525, 8, L. 6908
22526, 8, ZC. 2214
22527, 8.5, ZC. 2216
22528, 8.2, ZC. 2218
22529, 8, L. 6916
22530, 7.7, L. (6915) B. 5790
22531, 8.2, B. 5784
22532, 8.2, 
22533, 6.7, ZC. 2225
22534, 6, L. 6912
22535, 6.9, Ll. 30256
22536, 7.7, L. 6918
22537, 7.0, L. 6922
22538, 8.2, B. 5788
22539, 7.0, WB. 592
22540, 6.0, L. 6913
22541, 8.2, ZC. 2247
