number, magnitude, reference
15392, 8.5, B. 3480
15393, 9, ZC. 647
15394, 6.9, L. 4665
15395, 6.7, L. 4666
15396, 6.7, Ll. 21511
15397, 8, WB. 119
15398, 6.9, L. 4667
15399, 9, ZC. 669
15400, 9,
15401, 8.2, L. 4668
15402, 7.2, Ll. 21519
15403, 9.2, ZC. 683
15404, 6.9, Ll. 21524
15405, 7.2, L. 4670 red
15406, 8.5, ZC. 690
15407, 7.7, L. 4669
15408, 9, B. 3484
15409, 8.2, B. 3485
15410, 7.7, L. 4689
15411, 7.4, L. 4671
15412, 8.5, B. 3486
15413, 8, B. (3487)
15414, 6.9, Ll. 21525
15415, 8, B. 3488
15416, 9, ZC. 716
15417, 7.4, L. 4672
15418, 7.5, L. 4681
15419, 8.2, ZC. 733
15420, 9.2, ZC. 734
15421, 7.9, L. 4684
15422, 6.8, L. 4675
15423, 7.0, L. 4677
15424, 7.7, L. 4676
15425, 7.0, L. 4673
15426, 8.5, B. 3495
15427, 6.7, Ll. 21530
15428, 7.2, L. 4682 orange
15429, 4.2,
15430, 8.7, ZC. 757
15431, 6.9, L. 4674
15432, 8.2, B. 3498
15433, 7.7, B. 3499
15434, 9, B. 3496
15435, 7.7, B. 3500
15436, 6.0, Ll. 21540
15437, 6.7, L. 4678 sq.
15438, 8, OA. 11277
15439, 8, ZC. 780
