26760, 8.2, OA. 19677
26761, 9, M. 1907
26762, 8.7, OA. 19678
26763, 8.2, OA. 19682
26764, 7.2, L. 8144
26765, 8.5, L. 8130
26766, 9, ZC. 1088
26767, 8.7, OA. 19685
26768, 9.7, 
26769, 8.2, ZC. 1092
26770, 9.2, ZC. 1093
26771, 7.7, OA. 19688
26772, 6.9, L. 8143
26773, 9, ZC. 1096
26774, 7.5, L. 8133
26775, 9, ZC. 1099
26776, 6.0, L. 8138
26777, 8.2, B. 6687
26778, 9, ZC. 1103
26779, 8, ZC. 1105
26780, 5.4, 
26781, 8.5, Y. 8362
26782, 7.7, ZC. 1116
26783, 9, Y. 8363
26784, 7.2, L. 8134
26785, 7.3, L. 8114
26786, 9.2, OA. 19694
26787, 7.2, L. 8113
26788, 8.5, Ll. 36941
26789, 7.1, L. 8119
26790, 8.5, 
26791, 7.2, L. 8125
26792, 9.2, OA. 19704
26793, 8.7, ZC. 1133
26794, 8.2, ZC. 1138
26795, 8, OA. 19712
26796, 8.2, ZC. 1142
26797, 9, OA. 19713
26798, 9.2, ZC. 1145
26799, 8.7, ZC. 1146
26800, 7.5, ZC. 1147
26801, 8.7, ZC. 1150
26802, 6.9, L. 8154
26803, 8, ZC. 1156
26804, 7, L. 8146
26805, 7.5, L. 8152
26806, 7.5, Ll. 36981
26807, 7.7, B. 6695
26808, 8, B. 6691
26809, 6.6, L. 8127
26810, 8.2, ZC. 1175
26811, 7.7, L. 8108
26812, 8.7, OA. 19727
26813, 7.5, L. 8153
26814, 10.2, 
26815, 9.5, ZC. 1182
26816, 8, ZC. 1183
26817, 10, 
26818, 7.2, L. 8131
26819, 6.3, L. 8142
26820, 9, OA. 19735
