number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
517,,18,2,3,13,3.3,6.6,3529,6.7,33302,6,,,,,
518,,18,2,52,14,16.1,6.4,3427,6.5,,,14,7,,,6.3
519,73 OPH,18,3,21,3,58.4,6.0,3610,6.2,33333,6.5,,,6,6.1,6
520,,18,3,38,3,6.2,6.2,3613,6.5,,,28,6,6,6.0,6
521,,18,4,25,3,18.1,5.8,3620,6.0,33376,6,46,6,,5.9,
522,,18,7,36,11,51.3,6.9,3379,6.9,33505,,,,,,
523,,18,12,20,13,43.8,6.4,3593,6.1,33719,6,253,6,,,
524,,18,12,38,12,56.0,6.8,3461,6.7,33728,6.5,259,7,,,
525,74 OPH,18,14,38,3,19.4,5.5,3620,6.0,33799,5.5,,,5,5.2,5
526,,18,15,20,5,22.9,6.5,3704,6.9,33827,6,,,,,6.3
527,,18,16,17,7,29.6,7.3,3657,7.0,,,,,,,
528,,18,16,46,11,58.2,6.1,3442,6.0,33895,7,,,,,6
529,,18,19,0,5,1.0,7.0,3730,7.0,34036,7,,,,,
530,,18,21,52,6,7.2,6.0,3790,6.5,34128,5.5,,,,,
531,,18,27,23,8,10.6,6.6,3741,6.2,34350,6,,,,,
532,,18,28,55,10,47.7,6.7,3573,6.7,32424,6.5,668,6,,,
533,,18,30,30,9,1.5,5.7,3783,5.3,,,710,5,6,5.9,5.3
534,,18,30,35,6,34.7,5.8,3855,5.8,34486,5,,,6,6.0,5.7
535,,18,39,19,5,22.3,5.9,3941,6.3,34820,6,,,,,
536,,18,39,53,11,22.1,7.1,3592,6.7,34854,7.5,984,7,,,
537,,18,42,1,11,1.8,7.2,3660,8.0,34963,8.5,,,,,
537,,18,42,4,11,0.1,7.2,3663,7.5,34965,7.5,,,,,
538,,18,44,53,10,49.9,6.9,3685,6.7,35075,6.8,1115,7,,,
539,,18,46,18,13,49.1,6.6,3787,5.9,35150,6,1152,6.5,6,6.1,6
540,,18,48,29,10,39.2,7.0,3720,7.0,,,,,,,
541,62 SER,18,49,22,6,27.7,5.8,3978,5.8,35270,6,1234,6,6,6.0,6
542,THE SER,18,49,59,4,2.5,4.4,3916,4.0,,,1252,4.5,3.7,3.9,3.7
542,THE SER,18,50,1,4,2.4,4.4,3917,4.3,,,1255,4.5,3.7,3.9,3.7
543,,18,52,17,6,4.8,6.6,3989,6.8,35395,6,1303,7,,,
544,,18,52,41,17,11.7,5.7,3799,5.8,35421,6,1593,6.5,5,5.5,5.7
545,10 AQL,18,53,3,13,44.4,6.5,3838,6.4,35430,6,1324,7,,,6.3
546,11 AQL,18,53,20,13,27.5,5.8,3841,5.3,35436,5,1332,6.5,5,5.3,5
547,,18,53,22,9,58.3,6.8,3951,6.5,35434,7,1329,7,,,
548,,18,56,21,8,11.6,6.8,3951,6.5,35562,6,1408,7,,,
549,,18,59,11,9,27.3,6.9,3979,7.0,35697,6.5,,,,,
550,18 AQL,19,1,6,10,52.8,5.6,3787,5.2,35789,5.5,1551,5,5,5.0,5
551,,19,2,14,9,23.1,7.7,3592,7.0,35832,8,1582,8,,,
552,19 AQL,19,2,53,5,52.7,5.7,4040,5.0,35860,5.5,9,6,5.3,5.6,5.7
553,,19,7,35,5,18.3,6.7,4081,6.0,36099,6.5,145,7.5,,,6
554,,19,7,54,8,49.3,7.6,4007,7.3,36122,7,155,7.5,,,
555,,19,8,37,5,50.1,7.2,4087,7.0,36147,7,169,7.5,,,
556,,19,9,38,14,52.0,6.0,3846,6.1,36207,6,200,7,5.7,5.8,6
557,22 AQL,19,10,20,4,36.9,6.1,4045,5.7,36225,5.8,209,6.5,6,6.1,6
558,,19,10,43,14,19.5,6.2,3852,5.9,36268,,,,5.7,5.9,5.7
559,OME AQL,19,11,57,11,22.3,5.7,3790,5.4,36319,6,255,5.5,5.3,5.7,5.3
560,,19,12,55,12,23.7,6.8,4057,6.0,36356,6,,,,,
