19156, 9.2, ZC. 20
19157, 8.5, P. 298
19158, 9, ZC. 21 orange yellow
19159, 9.7, OA. 13390
19160, 7.6, L. 5824
19161, 8, Ll. 25886
19162, 8.5, ZC. 37
19163, 8.5, ZC. 47
19164, 6.4, L. 5811
19165, 8.2, B. 4774
19166, 8.5, OA. 13396
19167, 7.7, ZC. 63
19168, 8.5, B. 4776
19169, 8.2, ZC. 73
19170, 8.5, P. 304
19171, 6.6, L. 5826
19172, 9, M. 1171
19173, 9.5,
19174, 8.2, ZC. 84
19175, 6.6, L. 5825
19176, 8.2, P. 305
19177, 9,
19178, 8, ZC. 97
19179, 5.4, L. 5827
19180, 8.5, ZC. 105
19181, 8.2, P. 307
19182, 7.5, Ll. 25917
19183, 9.7, OA. 13405
19184, 8.5, ZC. 124
19185, 8.2, ZC. 125
19186, 7.5, B. 4782
19187, 8, Ll. 25922
19188, 8, L. 5805
19189, 8.7, ZC. 147
19190, 8, L. 5832
19191, 6.9, F. 96
19192, 8.5, ZC. 161
19193, 8, B. 4784
19194, 8, ZC. 165
19195, 8.5, ZC. 168
19196, 7.2, L. 5829
19197, 5.3,
19198, 7.7, ZC. 178
19199, 7.5, B. 4785
19200, 6.8, L. 5837
19201, 8, ZC. 199
19202, 7.1, L. 5833
19203, 8.2, B. 4788
19204, 8, OA. 13426
19205, 7.2, L. 5838
19206, 8.2, ZC. 216
19207, 9, ZC. 218
19208, 8.5, OA. 13427
19209, 8.5, ZC. 224
19210, 8, B. 4792
19211, 8.5, M. 1172
19212, 6.9, L. 5839
