7808, 9, ZC. 922
7809, 6.8, WB. 559
7810, 7.5, L. 2268
7811, 6.9, WB. 562
7812, 8.7, ZC. 927
7813, 9.5, ZC. 937
7814, 8.5, ZC. 941
7815, 6.4, Ll. 12343
7816, 8, ZC. 944
7817, 7.1, L. 2314
7818, 6.7, Ll. 12351
7819, 8.5, ZC. 946
7820, 7.7, L. 2322
7821, 8, ZC. 948
7822, 7.0, L. 2277
7823, 9.5, ZC. 956
7824, 6.5, L. 2276
7825, 10, 
7826, 8.5, OA. 5101
7827, 6.0, 
7828, 7, Ll. 12362
7829, 7.2, Ll. 12359
7830, 9.7, 
7831, 6.4, L. 2285
7832, 6.9, F. 9
7833, 7.0, L. 2271
7834, 6.1, By. 944
7835, 8.5, 
7836, 6.8, L. 2301
7837, 9, ZC. 971
7838, 6.8, Ll. 12377
7839, 6.7, L. 2274
7840, 7.7, L. 2287
7841, 9, G. 276
7842, 8, G. 277
7843, 0.4, Canopus
7844, 9, ZC. 978
7845, 7.2, L. 2426
7846, 8.5, ZC. 983
7847, 9, ZC. 985
7848, 7.5, OA. 5112
7849, 7.5, ZC. 991
7850, 9.5, ZC. 994
7851, 7.7, ZC. 1000
7852, 9.2, 
7853, 8.5, OA. 5119
7854, 8.5, OA. 5122
7855, 7.5, L. 2284
