23321, 8, ZC. 412
23322, 7.2, B. 5996
23323, 7.0, L. 7146
23324, 7.0, L. 7178
23325, 6.8, Ll. 31289
23326, 8.2, ZC. 426
23327, 8, B. 6002
23328, 7.2, B. 6001
23329, 9.5, Cape III. 725
23330, 9, ZC. 436
23331, 7, L. 7172
23332, 7.7, Y. 7131
23333, 8, Ll. 31296
23334, 7.1, L. 7174
23335, 8.2, B. 6003
23336, 6.4, L. 7176
23337, 5.8, L. 7179
23338, 8.2, M. 1550
23339, 7.3, L. 7161
23340, 8.5, Ll. 31294
23341, 10, M. (1551)
23342, 8.5, ZC. 474
23343, 7.5, L. 7182
23344, 7.1, L. 7177
23345, 7.7, Ll. 31307
23346, 8, OA. 16505
23347, 9.5, ZC. 486
23348, 8.2, 
23349, 8.5, OA. 16503
23350, 8.5, P. 12
23351, 8, ZC. 493
23352, 6.9, L. 7187
23353, 8, ZC. 500
23354, 5.7, 
23355, 5.7, 
23356, 6.5, L. 7191
23357, 6.8, L. 7180
23358, 6.1, L. 7189
23359, 8.5, ZC. 530
23360, 6.4, CL. 42
23361, 6.5, L. 7170
23362, 5.8, 
23363, 6.3, UA. 105
23364, 8, B. 6011
23365, 8.2, B. 6012
23366, 9, ZC. 554
23367, 8, ZC. 553
23368, 8, L. 7190
23369, 7.7, L. 7157
