number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
429,,14,43,34,8,30.4,7.1,2925,7.5,27017,7,794,7,6,,6
430,XI BOO,14,45,37,19,37.3,4.9,2870,5.0,27073,5,959,4,4,4.1,4.7
431,,14,47,29,6,45.2,6.8,2957,6.7,27135,6.5,880,7,6,,6
432,,14,49,12,7,17.6,6.9,2865,7.5,27162,7,907,7,6,,6.3
433,,14,50,19,14,57.2,6.2,2796,6.2,27213,6,927,6.5,6,6.0,6
434,,14,53,8,5,4.1,6.4,2954,6.2,27297,6,983,7,6,6.0,6
435,,14,57,54,5,59.2,6.7,2983,6.3,27430,7.8,1074,7.5,,,
436,,15,1,28,5,58.9,6.5,3001,6.3,27541,6,1141,7,6,6.1,6
437,,15,9,44,6,55.8,6.8,2926,7.1,27817,6.8,147,7,,,
438,7 SER,15,16,28,13,1.0,6.5,2928,6.4,28037,10,273,7,,,6.3
439,,15,28,19,5,9.1,7.1,3037,7.5,28370,7,501,7,,,
440,,15,29,55,6,36.0,7.3,3069,7.5,28427,7.2,532,8,,,
441,CHI SER,15,35,54,13,15.0,5.8,2982,5.5,28606,6,669,6,6,5.8,5.7
442,IOT SER,15,35,59,20,4.5,4.8,3138,4.5,28616,5,850,5,4.7,4.4,4.7
443,UPS SER,15,41,29,14,30.1,6.2,2939,6.0,28772,6,,,6,6.0,6
444,KAP SER,15,43,7,18,31.8,4.4,3074,4.0,28823,4.2,1048,4,4,3.9,4
445,GAM SER,15,50,40,16,4.3,3.9,2849,3.8,,,1242,3,3.7,3.6,3.7
446,,15,54,39,4,46.7,6.2,3096,6.1,29138,5.5,1015,6.5,,6.1,6
447,43 SER,15,57,35,5,20.0,6.4,3131,6.5,29235,6,1070,7,,,6.3
448,45 SER,16,1,40,10,13.7,6.0,2958,6.2,29384,6,1156,6,6,6.1,6
449,47 SER,16,2,26,8,52.1,6.2,3141,6.4,29417,6,1,6.5,6,6.1,6
450,,16,8,5,6,13.3,6.7,3184,7.0,29598,6.2,127,7,,,
451,,16,8,39,8,10.5,6.9,3158,7.0,29624,6.5,144,7,,,
452,SIG SER,16,15,45,1,19.4,5.4,3215,5.0,,,,,5,5.2,5
453,GAM HER,16,16,25,19,26.9,3.8,3086,3.0,29830,4,454,4,3,3.5,3.3
454,,16,18,6,7,14.3,6.2,3164,6.0,29867,6,323,6.5,6,6.1,6
455,OME HER,16,19,39,14,19.4,4.8,3049,5.2,29911,5.5,355,4,5,4.8,5
456,,16,23,43,16,14.9,7.1,3236,7.0,,,429,7,,,
457,,16,23,44,8,1.5,7.3,3110,7.3,,,431,7,,,
458,LAM OPH,16,24,37,2,15.6,3.8,3118,4.0,30048,4,440,5,3.7,3.8,3.7
459,,16,25,28,8,33.6,7.0,3215,7.7,30073,7.5,,,,,
460,,16,25,58,9,41.1,6.8,3218,6.8,30085,6,466,7,,,
461,28 n HER,16,26,27,5,47.4,6.0,3223,5.9,30097,6,474,7,6,6.0,6
462,,16,27,38,10,38.1,6.7,3025,7.0,30136,7,510,7,,,
463,,16,31,24,5,31.9,6.8,3240,6.8,30243,7,577,7,,,
464,,16,32,2,13,56.6,6.7,3177,6.0,30269,6,598,6,,,
465,36 HER,16,34,24,4,27.0,5.9,3234,7.5,30335,7.2,642,7.5,6,6.1,6
465,37 m HER,16,34,27,4,27.9,5.9,3235,6.1,30339,6.2,643,6.5,6,6.1,6
466,,16,35,2,12,38.4,6.4,3063,6.0,30371,6,,,,,6.3
467,41 HER,16,38,55,6,20.0,6.8,3288,6.5,30480,6.8,731,7,,,
468,,16,39,43,15,58.7,6.1,3013,6.1,30513,,1217,,6,6.0,6
469,43 i HER,16,39,50,8,48.7,5.9,3271,5.6,30512,5,750,5.5,5.7,5.7,5.7
470,45 l HER,16,41,37,5,28.4,5.7,3272,5.3,30559,5.8,,,6,5.8,5.7
471,,16,43,48,13,28.9,6.1,3233,5.6,30633,6,826,6,6,6.0,6
472,IOT OPH,16,48,6,10,22.4,5.0,3092,4.1,30751,4.5,898,4.5,4.3,4.4,4.3
