number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
1,87 PEG,0,2,35,17,31.0,5.8,7,5.7,,,,,6,6.0,5.7
2,34 PSC,0,3,37,10,26.9,5.5,8,5.8,,,26,7,6,5.8,6
3,CHI PEG,0,8,8,19,30.7,5.2,27,5.0,159,5,193,6,5,5.1,5
4,35 PSC,0,8,32,8,7.6,5.8,19,6.0,182,7.5,119,7.5,6,6.0,6
5,38 PSC,0,10,58,8,10.7,6.9,24,7.0,250,7,,,,,
6,,0,11,31,12,4.7,6.8,34,6.5,,,176,7,,,
7,,0,11,53,10,30.8,6.1,25,6.8,,,180,7,,,
8,41 d PSC,0,14,10,7,29.8,5.3,36,6.2,366,6,223,6.5,5.7,5.7,6
9,,0,14,28,10,17.1,6.5,32,7.2,375,7,(231),7.5,,,
10,,0,14,32,12,4.7,7.2,44,7.2,381,7.5,229,7.5,,,
11,,0,15,57,12,47.3,6.4,25,6.2,415,7.5,253,6.5,,,
12,,0,18,10,13,37.3,6.6,46,7.0,478,7.5,288,6,,,
13,45 PSC,0,19,15,7,0.0,6.9,43,7.3,,,302,7,,,
14,,0,21,1,15,20.0,6.7,59,6.7,581,6.8,,,,,
15,47 PSC,0,21,32,17,12.0,5.4,55,5.4,601,5.5,518,7,5.7,5.6,5.7
16,,0,21,52,9,30.6,6.1,47,6.5,617,6.5,340,7,,,
17,,0,25,3,10,50.6,7.0,57,7.5,730,7.8,392,8,,,
18,,0,25,14,12,13.8,7.3,47,7.2,,,396,8,,,
19,51 PSC,0,25,57,6,15.9,5.8,64,6.2,763,6,484,6.5,6,5.9,6
20,,0,26,48,13,8.9,7.6,69,7.4,792,9,433,8.5,,,
21,,0,27,42,13,49.5,7.5,73,7.5,,,,,,,
22,,0,27,42,9,36.9,7.0,62,6.8,827,7.5,448,7,,,
23,,0,29,27,12,31.7,6.4,59,6.5,892,7,484,7,,,
24,53 PSC,0,30,17,14,32.6,5.8,76,6.1,925,5.5,,,6,6.0,6
25,,0,30,49,10,44.9,6.9,65,7.3,943,8,504,7.5,,,
26,60 PSC,0,40,56,6,3.5,6.2,104,6.8,1273,6.5,689,7,,,6.3
27,62 PSC,0,41,48,6,37.0,6.0,105,7.0,1300,6,708,7,,,
28,,0,41,49,4,38.5,5.9,123,6.0,1299,6.5,,,6,6.0,6
29,,0,45,2,12,6.3,6.8,106,7.0,1416,8,764,8,,,
30,,0,45,56,12,58.2,7.2,104,7.3,1447,9,781,8.5,,,
31,,0,49,36,13,16.5,6.5,127,6.5,1576,7,839,7,,,
32,,0,51,21,13,1.2,6.4,119,6.0,(1640),7,873,6.5,6,,6
