index1,index2,dist
7G Ara,CD -52°7687,12.40
8G Ara,CD -58°6520,54.14
9G Ara,CD -58°6525,32.27
10G Ara,CD -46°11008,16.55
11G Ara,CD -48°11169,5.01
12G Ara,CD -45°10951,1.05
eta Ara,CD -58°6543,14.73
14G Ara,CD -52°7742,20.16
15G Ara,CD -49°10998,1.94
16G Ara,CD -57°6607,8.22
17G Ara,CD -63°1237,40.48
18G Ara,CD -49°11036,6.67
19G Ara,CD -65°2226,8.73
20G Ara,CD -60°6493,24.05
21G Ara,CD -50°10905,2.86
22G Ara,CD -52°7830,36.01
zeta Ara,CD -55°6975,12.00
24G Ara,CD -50°10924,7.67
epsilon1Ara,CD -52°7872,7.51
26G Ara,CD -54°7080,12.50
27G Ara,CD -56°6647,12.99
28G Ara,CD -58°6607,5.44
29G Ara,CD -48°11360,2.98
30G Ara,CD -50°10955,6.00
epsilon2Ara,CD -53°7050,12.53
32G Ara,CD -57°6703,15.92
33G Ara,CD -46°11191,7.26
34G Ara,CD -61°5733,18.06
35G Ara,CD -57°6759,19.10
36G Ara,CD -67°2060,5.85
37G Ara,CD -46°11258,3.09
38G Ara,CD -48°11492,3.96
39G Ara,CD -56°6744,36.01
40G Ara,CD -59°6506,18.00
41G Ara,CD -46°11370,15.65
42G Ara,CD -49°11324,6.66
43G Ara,CD -65°2307,8.63
44G Ara,CD -58°6764,12.10
45G Ara,CD -57°6834,66.48
46G Ara,CD -62°1148,6.00
47G Ara,CD -56°6815,24.69
48G Ara,CD -60°6660,0.74
iota Ara,CD -47°11484,7.86
gamma Ara,CD -56°6837,48.07
beta Ara,CD -55°7166,0.85
52G Ara,CD -62°1156,9.09
kappa Ara,CD -50°11269,7.11
54G Ara,CD -50°11283,6.30
55G Ara,CD -51°10881,13.23
56G Ara,CD -45°11531,4.19
57G Ara,CD -46°11530,18.46
58G Ara,CD -52°8161,36.05
59G Ara,CD -55°7205,9.12
delta Ara,CD -60°6694,34.10
61G Ara,CD -56°6893,49.17
alpha Ara,CD -49°11511,7.71
63G Ara,CD -45°11626,1.04
64G Ara,CD -59°6634,42.55
65G Ara,CD -48°11821,3.98
66G Ara,CD -53°7310,30.85
sigma Ara,CD -46°11661,7.92
68G Ara,CD -49°11577,7.70
pi Ara,CD -54°7407,12.22
lambda Ara,CD -49°11616,1.95
72G Ara,CD -46°11747,6.74
73G Ara,CD -50°11474,6.08
74G Ara,CD -56°6994,6.06
mu Ara,CD -51°11094,6.61
76G Ara,CD -55°7397,4.26
nu1 Ara,CD -53°7423,11.49
nu2 Ara,CD -53°7430,18.02
79G Ara,CD -56°7068,6.06
80G Ara,CD -45°11958,3.15
81G Ara,CD -55°7470,11.09
82G Ara,CD -56°7109,6.84
83G Ara,CD -51°11348,9.29
theta Ara,CD -50°11720,2.89
85G Ara,CD -45°12215,10.30
1G Cae,CD -44°1546,5.35
2G Cae,CD -40°1396,4.54
3G Cae,CD -47°1383,3.06
4G Cae,CD -42°1510,2.22
5G Cae,CD -46°1427,2.05
6G Cae,CD -41°1447,20.12
delta Cae,CD -45°1567,4.23
8G Cae,CD -42°1572,12.80
alpha Cae,CD -42°1587,6.87
beta Cae,CD -37°1867,18.96
11G Cae,CD -37°1869,43.97
12G Cae,CD -30°1968,7.71
13G Cae,CD -41°1549,42.00
14G Cae,CD -34°1859,7.06
15G Cae,CD -39°1624,24.44
zeta Cae,CD -30°2011,32.19
17G Cae,CD -44°1720,7.38
nu Cae,CD -41°1593,24.10
19G Cae,CD -35°1962,12.00
20G Cae,CD -34°1921,18.04
21G Cae,CD -38°1790,24.46
22G Cae,CD -39°1691,31.38
23G Cae,CD -32°2078,6.13
24G Cae,CD -37°1977,8.38
25G Cae,CD -39°1744,36.89
26G Cae,CD -31°2163,21.34
27G Cae,CD -41°1690,4.46
gamma Cae,CD -35°2089,6.48
3G CMa,CD -29°2883,18.05
4G CMa,CD -29°2898,18.74
10G CMa,CD -22°2917,30.51
16G CMa,CD -22°2955,30.03
zeta CMa,CD -30°3038,18.42
19G CMa,CD -29°3021,7.16
25G CMa,CD -31°3245,18.18
27G CMa,CD -29°3055,31.35
29G CMa,CD -25°3189,18.09
30G CMa,CD -28°2981,12.63
31G CMa,CD -29°3090,19.63
33G CMa,CD -25°3237,20.99
lambda CMa,CD -32°3066,6.13
36G CMa,CD -32°3072,12.27
37G CMa,CD -22°3129,12.32
42G CMa,CD -27°3051,14.41
xi1 CMa,CD -23°3991,6.16
45G CMa,CD -32°3121,13.56
47G CMa,CD -31°3407,26.59
xi2 CMa,CD -22°3235,18.00
50G CMa,CD -32°3168,18.04
