index1,index2,dist
GC 220,CPD -25°23,6.53
GC 221,CPD -24°19,9.44
GC 222,CPD -89°1,1.79
GC 224,CPD -40°22,6.69
GC 225,CPD -47°23,7.43
GC 227,CPD -54°62,6.68
GC 228,CPD -60°24,3.44
GC 229,CPD -54°63,4.52
GC 230,CPD -77°8,5.69
GC 231,CPD -51°34,2.05
GC 234,CPD -78°6,2.84
GC 235,CPD -25°26,3.70
GC 236,CPD -61°13,2.00
GC 238,CPD -32°40,4.94
GC 239,CPD -36°28,5.81
GC 240,CPD -78°7,6.48
GC 241,CPD -24°21,6.80
GC 242,CPD -25°27,8.51
GC 243,CPD -52°27,5.19
GC 244,CPD -31°38,6.92
GC 245,CPD -26°22,3.18
GC 246,CPD -26°23,3.39
GC 247,CPD -24°22,9.73
GC 250,CPD -39°11,4.02
GC 251,CPD -35°36,4.12
GC 252,CPD -26°24,4.02
GC 253,CPD -70°12,3.27
GC 254,CPD -77°10,3.85
GC 255,CPD -71°6,4.70
GC 256,CPD -72°31,5.37
GC 257,CPD -65°16,0.93
GC 258,CPD -36°29,4.26
GC 259,CPD -59°26,11.55
GC 260,CPD -39°12,11.70
GC 261,CPD -48°30,6.73
GC 262,CPD -48°31,5.17
GC 263,CPD -29°28,10.68
GC 265,CPD -25°29,9.41
GC 266,CPD -20°18,7.27
GC 267,CPD -54°73,9.31
GC 268,CPD -23°23,4.81
GC 269,CPD -23°24,6.81
GC 270,CPD -23°24,6.36
GC 271,CPD -66°22,5.82
GC 272,CPD -27°23,5.96
GC 273,CPD -39°14,7.88
GC 274,CPD -39°15,6.17
GC 275,CPD -25°31,7.30
GC 276,CPD -24°26,6.67
GC 277,CPD -38°23,7.41
GC 278,CPD -27°24,5.59
GC 279,CPD -78°9,2.75
GC 280,CPD -24°27,7.10
GC 281,CPD -25°33,13.52
GC 282,CPD -61°19,1.40
GC 283,CPD -51°40,3.74
GC 285,CPD -32°41,7.99
GC 286,CPD -68°9,3.54
GC 287,CPD -36°31,5.70
GC 288,CPD -46°30,3.88
GC 289,CPD -39°16,8.38
GC 290,CPD -61°21,4.46
GC 291,CPD -40°26,2.72
GC 292,CPD -38°26,8.32
GC 294,CPD -23°26,3.74
GC 295,CPD -35°42,2.73
GC 296,CPD -31°43,5.00
GC 297,CPD -49°46,10.69
