index1,index2,dist
W 399,CD -25°336,14.37
W 400,CD -25°338,6.72
W 402,CD -22°291,16.28
W 403,CD -27°285,20.53
W 406,CD -29°255,32.06
W 407,CD -29°258,6.59
W 408,CD -25°343,19.97
W 411,CD -22°297,4.56
W 412,CD -23°346,13.91
W 413,CD -24°389,4.79
W 416,CD -22°305,1.73
W 417,CD -25°355,12.43
W 420,CD -26°297,39.84
W 423,CD -28°288,19.07
W 425,CD -24°407,15.95
W 426,CD -24°408,9.20
W 429,CD -26°303,11.27
W 433,CD -30°287,41.92
W 434,CD -23°364,13.49
W 437,CD -26°311,5.17
W 439,CD -28°299,44.79
W 440,CD -23°367,16.73
W 442,CD -26°314,18.80
W 444,CD -27°308,18.75
W 448,CD -30°297,19.33
W 452,CD -24°420,24.74
W 454,CD -24°426,6.56
W 455,CD -26°321,13.07
W 457,CD -22°334,25.32
W 458,CD -25°389,3.32
W 461,CD -25°394,3.99
W 465,CD -26°326,7.29
W 467,CD -26°327,22.10
W 468,CD -24°435,29.70
W 469,CD -27°326,32.14
W 470,CD -25°397,57.21
W 472,CD -29°298,22.16
W 473,CD -23°378,17.30
W 477,CD -24°448,20.20
W 479,CD -22°357,14.05
W 481,CD -22°358,15.27
W 483,CD -23°383,6.39
W 485,CD -26°343,25.04
W 486,CD -28°322,37.74
W 487,CD -30°325,2.27
W 492,CD -24°471,9.09
W 493,CD -27°345,8.17
W 495,CD -23°390,35.74
W 498,CD -31°426,13.70
W 500,CD -24°474,2.32
W 502,CD -28°336,16.37
W 505,CD -24°480,12.17
W 506,CD -22°379,9.19
W 507,CD -26°356,16.09
W 508,CD -27°353,9.36
W 509,CD -26°357,9.79
W 510,CD -27°355,16.93
W 512,CD -24°484,16.64
W 513,CD -24°485,4.85
W 514,CD -22°383,27.65
W 516,CD -25°431,41.57
W 517,CD -22°391,17.28
W 518,CD -23°404,45.05
W 519,CD -24°492,17.93
W 520,CD -24°496,26.20
W 521,CD -25°438,26.34
W 526,CD -24°498,6.02
W 527,CD -29°335,6.60
W 528,CD -28°348,57.18
W 530,CD -25°444,12.24
W 531,CD -22°400,23.16
W 533,CD -22°401,16.23
W 534,CD -24°503,11.71
W 537,CD -30°360,13.42
W 538,CD -26°372,20.90
W 539,CD -22°406,6.22
W 545,CD -26°377,17.81
W 548,CD -23°429,30.93
W 550,CD -28°359,10.86
W 553,CD -23°432,18.12
W 558,CD -23°438,3.03
W 559,CD -26°387,2.76
W 560,CD -23°441,18.05
