index1,index2,dist
g2 Aqr,CPD -20°8408,16.60
182G Aqr,CPD -23°8236,6.16
184G Aqr,CPD -19°8314,16.65
189G Aqr,CPD -19°8317,2.82
194G Aqr,CPD -23°8250,12.08
196G Aqr,CPD -20°8425,11.22
200G Aqr,CPD -23°8262,8.14
203G Aqr,CPD -19°8337,8.25
205G Aqr,CPD -21°8219,9.77
c1 Aqr,CPD -24°7427,6.15
c2 Aqr,CPD -21°8230,11.14
c3 Aqr,CPD -23°8278,10.22
b1 Aqr,CPD -20°8477,1.40
233G Aqr,CPD -22°8355,11.41
234G Aqr,CPD -19°8384,8.49
b2 Aqr,CPD -21°8259,16.40
236G Aqr,CPD -22°8364,6.61
100 Aqr,CPD -22°8374,2.78
b3 Aqr,CPD -21°8272,1.39
i1 Aqr,CPD -18°486,7.36
i2 Aqr,CPD -19°8418,9.91
i3 Aqr,CPD -19°8426,2.83
272G Aqr,CPD -19°8429,9.91
274G Aqr,CPD -24°7497,6.15
1G Ara,CPD -60°6594,7.33
2G Ara,CPD -60°6603,6.18
3G Ara,CPD -51°9815,12.04
4G Ara,CPD -48°8703,1.99
5G Ara,CPD -49°9528,2.93
6G Ara,CPD -45°8091,3.14
7G Ara,CPD -52°10161,1.81
8G Ara,CPD -58°6889,7.18
9G Ara,CPD -58°6893,7.92
10G Ara,CPD -46°8205,3.11
11G Ara,CPD -48°8811,2.00
12G Ara,CPD -45°8142,10.31
eta Ara,CPD -58°6906,6.00
14G Ara,CPD -52°10224,6.00
15G Ara,CPD -49°9629,12.58
16G Ara,CPD -57°8157,7.22
17G Ara,CPD -63°4032,6.90
18G Ara,CPD -49°9665,3.90
19G Ara,CPD -65°3377,6.79
20G Ara,CPD -60°6676,3.71
21G Ara,CPD -50°9756,0.95
22G Ara,CPD -52°10333,8.16
zeta Ara,CPD -55°7766,1.69
24G Ara,CPD -50°9770,6.08
epsilon1Ara,CPD -52°10372,8.09
26G Ara,CPD -54°7947,8.57
27G Ara,CPD -56°7940,8.36
28G Ara,CPD -58°6964,9.82
29G Ara,CPD -48°8957,4.97
30G Ara,CPD -50°9796,7.64
epsilon2Ara,CPD -53°8316,6.27
32G Ara,CPD -57°8265,10.04
33G Ara,CPD -46°8369,3.07
34G Ara,CPD -61°5842,6.99
35G Ara,CPD -57°8347,0.80
36G Ara,CPD -67°3296,12.68
37G Ara,CPD -46°8423,7.22
38G Ara,CPD -48°9039,2.97
39G Ara,CPD -56°8098,1.65
40G Ara,CPD -59°6954,2.28
41G Ara,CPD -46°8513,14.70
42G Ara,CPD -49°9879,7.70
43G Ara,CPD -65°3438,0.00
44G Ara,CPD -58°7086,0.79
45G Ara,CPD -57°8478,0.00
46G Ara,CPD -62°5558,1.37
47G Ara,CPD -56°8191,6.50
48G Ara,CPD -60°6800,5.16
iota Ara,CPD -47°8245,5.08
gamma Ara,CPD -56°8225,8.37
beta Ara,CPD -55°8100,4.26
52G Ara,CPD -62°5590,2.05
kappa Ara,CPD -50°10078,7.11
54G Ara,CPD -50°10092,8.29
55G Ara,CPD -51°10359,2.78
56G Ara,CPD -45°8580,6.09
57G Ara,CPD -46°8655,2.05
58G Ara,CPD -52°10662,6.07
59G Ara,CPD -55°8144,10.48
delta Ara,CPD -60°6842,6.39
61G Ara,CPD -56°8304,1.64
alpha Ara,CPD -49°10052,6.08
63G Ara,CPD -45°8654,5.22
64G Ara,CPD -59°7071,5.29
65G Ara,CPD -48°9296,4.98
66G Ara,CPD -53°8682,6.58
sigma Ara,CPD -46°8746,6.00
68G Ara,CPD -49°10124,7.13
pi Ara,CPD -54°8403,6.00
NGC6397 Ara,CPD -53°8720,17.11
lambda Ara,CPD -49°10162,0.98
72G Ara,CPD -46°8819,4.10
73G Ara,CPD -50°10303,0.96
74G Ara,CPD -56°8405,6.06
mu Ara,CPD -51°10535,2.79
76G Ara,CPD -55°8312,5.97
nu1 Ara,CPD -53°8799,2.67
nu2 Ara,CPD -53°8812,6.31
79G Ara,CPD -56°8468,6.50
80G Ara,CPD -45°8906,7.35
81G Ara,CPD -55°8375,8.53
82G Ara,CPD -56°8506,10.16
83G Ara,CPD -51°10729,8.36
theta Ara,CPD -50°10538,7.70
85G Ara,CPD -45°9095,6.09
1G Cae,CPD -44°478,9.60
2G Cae,CPD -40°482,3.41
3G Cae,CPD -47°441,12.38
4G Cae,CPD -42°469,10.00
5G Cae,CPD -46°433,10.17
6G Cae,CPD -41°509,10.81
delta Cae,CPD -45°471,8.73
8G Cae,CPD -42°507,4.45
alpha Cae,CPD -42°513,6.68
beta Cae,CPD -37°559,12.29
11G Cae,CPD -37°560,7.11
12G Cae,CPD -31°593,14.27
13G Cae,CPD -41°564,6.89
14G Cae,CPD -34°530,3.72
15G Cae,CPD -39°514,8.33
zeta Cae,CPD -30°683,6.54
17G Cae,CPD -44°540,4.30
nu Cae,CPD -41°581,6.00
19G Cae,CPD -35°551,14.08
20G Cae,CPD -34°549,7.42
