index1,index2,dist
GI 204,CD -68°14,20.05
GI 205,CD -70°15,7.27
GI 206,CD -67°21,26.22
GI 207,CD -70°16,33.36
GI 208,CD -68°15,8.51
GI 209,CD -70°15,118.18
GI 210,CD -70°17,4.22
GI 212,CD -70°18,26.62
GI 213,CD -81°9,8.31
GI 214,CD -70°19,38.34
GI 215,CD -71°20,19.11
GI 216,CD -69°16,42.70
GI 217,CD -81°10,6.27
GI 218,CD -65°17,18.38
GI 219,CD -76°13,7.72
GI 220,CD -77°17,34.05
GI 221,CD -71°21,305.53
GI 222,CD -67°22,1.97
GI 223,CD -72°23,4.15
GI 224,CD -66°23,30.32
GI 225,CD -70°20,52.42
GI 226,CD -70°21,5.86
GI 227,CD -76°15,7.20
GI 228,CD -66°24,15.41
GI 229,CD -80°15,19.59
GI 230,CD -66°25,8.51
GI 231,CD -79°14,20.33
GI 232,CD -70°22,3.78
GI 233,CD -88°2,5.19
GI 234,CD -76°17,3.36
GI 235,CD -83°3,4.87
GI 236,CD -65°20,23.06
GI 237,CD -70°23,22.39
GI 238,CD -75°16,16.87
GI 239,CD -66°26,50.70
GI 240,CD -74°19,19.63
GI 241,CD -76°18,19.39
GI 242,CD -85°4,6.87
GI 243,CD -81°11,2.30
GI 244,CD -67°24,6.42
GI 244,CD -67°24,6.42
GI 245,CD -85°4,278.90
GI 246,CD -73°20,28.45
GI 247,CD -70°24,25.82
GI 248,CD -69°17,21.66
GI 249,CD -86°2,228.79
GI 250,CD -71°23,11.28
GI 251,CD -74°20,4.87
GI 252,CD -70°25,24.32
GI 253,CD -72°26,10.39
GI 255,CD -68°16,30.36
GI 256,CD -65°21,7.54
GI 257,CD -69°18,16.16
GI 258,CD -69°19,11.22
GI 259,CD -77°20,10.73
GI 260,CD -69°19,342.46
GI 261,CD -78°15,5.64
GI 262,CD -68°17,3.99
GI 263,CD -66°28,16.06
GI 264,CD -70°26,25.38
GI 265,CD -75°18,17.11
GI 266,CD -68°18,21.38
GI 268,CD -68°19,11.35
GI 269,CD -67°26,19.88
GI 270,CD -76°21,6.90
