name,x,y,z
G2 881,0.455420776475,0.793513083297,-0.403644525531
G2 1183,0.136954106550,0.894205593220,-0.426192362383
G2 2622,-0.862223375706,0.316343659463,-0.395597699063
G2 2834,-0.886743702961,0.143336578385,-0.439477224161
G2 3191,-0.507002053133,-0.089671075427,-0.857267762342
G2 3642,-0.706841984620,-0.546646344205,-0.448945634955
G2 3876,-0.267150392313,-0.381677878688,-0.884846124932
G2 3887,-0.512002537819,-0.752341457409,-0.414530737981
G2 4090,-0.317166103449,-0.801197600371,-0.507432821153
G2 4222,-0.227126520791,-0.961868991390,-0.152386308294
G2 4810,0.349212704545,-0.930367552433,-0.111654396974
G2 4817,0.356201330868,-0.928790880020,-0.102313797109
G2 4818,0.356412798320,-0.929104692267,-0.098663002192
G2 4819,0.356782478943,-0.929086787299,-0.097488483345
G2 4820,0.356805992092,-0.928278852837,-0.104822971641
G2 4824,0.358830043051,-0.927054486012,-0.108678333487
G2 4825,0.359806694701,-0.926523878692,-0.109966561566
G2 4828,0.360928514282,-0.925932740802,-0.111261705402
G2 4839,0.374124557965,-0.923455696133,-0.085207936289
G2 4843,0.378662080050,-0.921717108995,-0.083979760172
G2 4848,0.381099503568,-0.920760125270,-0.083450345074
G2 4856,0.383628206009,-0.919752416924,-0.082975244005
G2 4860,0.388977828245,-0.917571209319,-0.082215113957
G2 4865,0.391773837017,-0.916406119274,-0.081933419226
G2 4886,0.403689559658,-0.911260261837,-0.081482971353
G2 4902,0.413195075556,-0.906953828729,-0.081881512505
G2 4915,0.419690964704,-0.903906416689,-0.082538984816
G2 4918,0.422970880962,-0.902336642207,-0.082971187707
G2 4925,0.426260270140,-0.900738724349,-0.083498099128
G2 4930,0.429546786294,-0.899120630521,-0.084093104087
G2 4932,0.432830110621,-0.897481983138,-0.084759573399
G2 4935,0.436099658676,-0.895826225819,-0.085512927895
G2 4945,0.442595596842,-0.892467249828,-0.087243026317
G2 4971,0.466911362008,-0.878944022694,-0.097217205263
G2 4975,0.469667370367,-0.877297423505,-0.098801780981
G2 4980,0.472346887427,-0.875669865456,-0.100452499574
G2 4988,0.474939193557,-0.874067559422,-0.102169780214
G2 5453,0.798464277079,-0.361270123158,-0.481600141551
G2 5484,0.857857331261,-0.347038193390,-0.379005661607
G2 5692,0.924699913180,-0.063503083278,-0.375363062887
